873,"SELECT p.objid, p.ra, p.dec, p.dered_u, p.dered_g, p.dered_r, p.dered_i, p.dered_z, p.clean, p.flags , z.z as photoz, z.zErr as photozErr, s.z as specz, s.zErr as speczErr , dbo.fPhotoFlagsN (p.flags) as note FROM GALAXY as p LEFT OUTER JOIN photoz as z ON z.objID = p.objID LEFT OUTER JOIN specObjAll as s ON s.bestObjID = p.objID , dbo.fGetNearbyObjEq (#, #, #) as near WHERE p.objID = near.objID"
2019-05-29 13:28:00,1
2019-05-29 13:32:00,5
2019-05-29 13:33:00,8
2019-05-29 13:34:00,7
2019-05-29 13:35:00,6
2019-05-29 13:36:00,4
2019-05-29 13:37:00,5
2019-05-29 13:38:00,7
2019-05-29 13:39:00,7
2019-05-29 13:40:00,10
2019-05-29 13:41:00,5
2019-05-29 13:42:00,9
2019-05-29 13:43:00,12
2019-05-29 13:44:00,10
2019-05-29 13:45:00,10
2019-05-29 13:46:00,6
2019-05-29 13:47:00,8
2019-05-29 13:48:00,7
2019-05-29 13:49:00,8
2019-05-29 13:50:00,9
2019-05-29 13:51:00,7
2019-05-29 13:52:00,6
2019-05-29 13:53:00,5
2019-05-29 13:54:00,7
2019-05-29 13:55:00,4
2019-05-29 13:56:00,2
2019-05-29 13:57:00,1
2019-05-29 13:58:00,9
2019-05-29 13:59:00,6
2019-05-29 14:00:00,5
2019-05-29 14:01:00,8
2019-05-29 14:02:00,7
2019-05-29 14:03:00,7
2019-05-29 14:04:00,6
2019-05-29 14:05:00,7
2019-05-29 14:06:00,5
2019-05-29 14:07:00,5
2019-05-29 14:08:00,1
2019-05-29 14:09:00,2
2019-05-29 14:10:00,5
2019-05-29 14:11:00,4
2019-05-29 14:12:00,5
2019-05-29 14:13:00,6
2019-05-29 14:14:00,4
2019-05-29 14:15:00,6
2019-05-29 14:16:00,5
2019-05-29 14:17:00,5
2019-05-29 14:18:00,7
2019-05-29 14:19:00,10
2019-05-29 14:20:00,10
2019-05-29 14:21:00,7
2019-05-29 14:22:00,10
2019-05-29 14:23:00,8
2019-05-29 14:24:00,10
2019-05-29 14:25:00,8
2019-05-29 14:26:00,9
2019-05-29 14:27:00,6
2019-05-29 14:28:00,7
2019-05-29 14:29:00,6
2019-05-29 14:30:00,6
2019-05-30 07:24:00,2
2019-05-30 07:42:00,1
2019-05-30 07:43:00,5
2019-05-30 07:44:00,7
2019-05-30 07:45:00,7
2019-05-30 07:46:00,10
2019-05-30 07:47:00,8
2019-05-30 07:48:00,10
2019-05-30 07:49:00,10
2019-05-30 07:50:00,9
2019-05-30 07:51:00,10
2019-05-30 07:52:00,6
2019-05-30 07:53:00,6
2019-06-03 08:39:00,1
2019-06-03 09:10:00,1
2019-06-11 14:01:00,1
2019-06-11 14:04:00,1
2019-08-28 11:39:00,2
2019-08-28 11:40:00,8
2019-08-28 11:41:00,4
2019-08-28 11:42:00,7
2019-08-28 11:43:00,5
2019-08-28 11:44:00,3
2019-08-28 11:45:00,3
2019-08-28 11:46:00,7
2019-08-28 11:47:00,5
2019-08-28 11:48:00,6
2019-08-28 11:49:00,10
2019-08-28 11:50:00,11
2019-08-28 11:51:00,10
2019-08-28 11:52:00,10
2019-08-28 11:53:00,11
2019-08-28 11:54:00,7
2019-08-28 11:55:00,6
2019-08-28 11:56:00,7
2019-08-28 11:57:00,7
2019-08-28 11:58:00,8
2019-08-28 11:59:00,7
2019-08-28 12:00:00,4
2019-08-28 12:01:00,8
2019-08-28 12:02:00,4
2019-08-28 12:03:00,6
2019-08-28 12:04:00,6
2019-08-28 12:05:00,1
2019-08-28 12:06:00,1
2019-08-28 12:07:00,7
2019-08-28 12:08:00,9
2019-08-28 12:09:00,2
2019-08-28 12:10:00,9
2019-08-28 12:11:00,7
2019-08-28 12:12:00,8
2019-08-28 12:13:00,6
2019-08-28 12:14:00,8
2019-08-28 12:15:00,5
2019-08-28 12:16:00,5
2019-08-28 12:17:00,1
2019-08-28 12:18:00,1
2019-08-28 12:19:00,4
2019-08-28 12:20:00,5
2019-08-28 12:21:00,5
2019-08-28 12:22:00,5
2019-08-28 12:23:00,4
2019-08-28 12:24:00,4
2019-08-28 12:25:00,6
2019-08-28 12:26:00,5
2019-08-28 12:27:00,6
2019-08-28 12:28:00,9
2019-08-28 12:29:00,4
2019-08-28 12:30:00,10
2019-08-28 12:31:00,8
2019-08-28 12:32:00,6
2019-08-28 12:33:00,5
2019-08-28 12:34:00,9
2019-08-28 12:35:00,8
2019-08-28 12:36:00,8
2019-08-28 12:37:00,8
2019-08-28 12:38:00,6
2019-08-28 12:39:00,5
2019-08-28 12:40:00,6
2019-08-28 12:41:00,4
2019-08-28 12:42:00,5
2019-08-29 06:24:00,1
2019-08-29 06:43:00,1
2019-08-29 06:44:00,1
