2,"select p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.z as redshift, s.specobjid from galaxy p, specobj s where p.objid = s.bestobjid and s.z BETWEEN # AND #"
2019-02-04 20:38:00,1
2019-02-04 20:40:00,1
