4,"select top # G.objID, G.ra, G.dec, zns.nvote, zns.p_el, zns.p_cw, zns.p_acw, zns.p_edge, zns.p_mg from Galaxy as G join zooNoSpec as zns on G.objID = zns.objid where clean = # and zns.nvote > # and G.petroR9#_g between # and # and zns.p_el > # or zns.p_cw > # or zns.p_acw > # or zns.p_edge > # or zns.p_mg > #"
2019-01-16 02:08:00,2
2019-01-16 02:09:00,1
2019-01-16 02:12:00,1
