12,"SELECT top # p.ObjID, p.ra, p.dec, s.plate, s.MJD, s.fiberID, p.dered_u, p.dered_g, p.dered_r, p.petroR5#_r, s.z as redshift, g.lgm_tot_p5# as logMass, g.sfr_tot_p5# as logSFR, z.p_el_debiased, z.p_cs_debiased FROM SpecObj s, Galaxy p, galSpecExtra g, Zoospec z WHERE p.ObjID = s.BestObjID AND g.SpecObjID = s.SpecObjID AND p.ObjID = z.ObjID AND s.z between # and # AND z.nvote > # AND p.clean = # AND s.zWarning = #"
2019-03-06 18:34:00,1
2019-04-09 20:03:00,1
2019-04-11 21:44:00,2
2019-04-25 18:04:00,1
2019-04-29 18:07:00,1
2019-04-30 17:22:00,1
2019-05-06 23:09:00,2
2019-05-06 23:12:00,1
2019-05-08 19:32:00,1
2019-05-16 10:01:00,1
