31,"SELECT p.deVRad_g, p.deVRad_r, p.deVAB_g, p.deVAB_r, p.deVMag_g, p.deVMag_r, p.extinction_g, p.extinction_r, r.z, r.nnAvgZ FROM PhotoObj AS p JOIN Photoz as r ON p.objID = r.objID WHERE p.objID = #"
2019-03-07 14:00:00,1
2019-03-07 14:04:00,1
2019-03-07 14:06:00,1
2019-03-07 14:20:00,1
2019-03-07 14:29:00,1
2019-03-07 14:30:00,1
2019-03-07 14:31:00,1
2019-03-07 14:42:00,2
2019-03-07 14:43:00,1
2019-03-07 14:44:00,2
2019-03-07 14:45:00,2
2019-03-07 14:47:00,1
2019-03-07 14:48:00,3
2019-03-07 14:49:00,2
2019-03-07 14:50:00,2
2019-03-07 14:51:00,2
2019-03-07 14:52:00,3
2019-03-07 14:53:00,2
2019-03-07 14:54:00,2
