44,select objid from photoobjall where photoobjall.dec between # and # and photoobjall.ra between .# and #
2019-03-05 11:03:00,2
2019-03-06 15:21:00,1
2019-03-06 15:28:00,1
2019-03-06 15:54:00,1
2019-03-06 15:55:00,1
2019-03-06 16:17:00,2
2019-03-06 16:53:00,1
2019-03-06 17:38:00,3
2019-03-06 17:40:00,1
2019-03-06 17:57:00,1
2019-03-06 18:11:00,1
2019-03-06 18:13:00,1
2019-03-06 18:28:00,1
2019-03-06 18:31:00,1
2019-03-11 03:43:00,2
2019-03-11 03:45:00,1
2019-03-11 03:53:00,1
2019-03-12 07:46:00,1
2019-03-12 08:08:00,1
2019-03-12 08:22:00,1
2019-03-12 08:42:00,3
2019-03-12 09:06:00,1
2019-03-12 09:17:00,1
2019-03-12 10:01:00,1
2019-03-12 20:50:00,1
2019-03-13 23:25:00,1
2019-03-14 04:12:00,1
2019-03-14 05:06:00,2
2019-03-14 05:25:00,1
2019-03-14 06:08:00,2
2019-03-14 07:36:00,1
2019-03-14 07:53:00,1
2019-03-14 07:55:00,2
2019-03-14 10:45:00,1
