18,"SELECT p.objID, p.ra, p.dec, s.z AS RedShift, p.deVRad_r, p.modelMag_u-extinction_u AS mag_u, p.modelMag_g-extinction_g AS mag_g, p.modelMag_r-extinction_r AS mag_r, p.modelMag_i-extinction_i AS mag_i, p.modelMag_z-extinction_z AS mag_z FROM galaxy AS p, dbo.fgetNearByObjEq (#, #, #) AS n, galSpecInfo AS s WHERE p.objid = n.objid AND p.specObjID = s.specObjID AND p.specObjID< ># AND p.modelMagErr_r BETWEEN # AND # AND s.z BETWEEN # AND # ORDER BY s.z"
2019-10-23 10:37:00,1
2019-10-23 10:38:00,1
2019-10-23 11:39:00,2
2019-10-24 22:09:00,1
2019-10-24 22:12:00,1
2019-10-24 22:19:00,1
2019-10-31 17:55:00,1
2019-10-31 17:57:00,1
2019-11-23 17:32:00,1
2019-11-23 17:38:00,1
2019-11-27 09:01:00,1
2019-11-27 09:10:00,1
2019-11-30 13:29:00,1
2019-11-30 13:35:00,1
2019-11-30 16:27:00,1
2019-11-30 16:30:00,1
2019-12-01 17:17:00,1
