17,"SELECT DISTINCT p.objID, p.skyVersion, p.run, p.rerun, p.camcol, p.field, p.obj, p.mode, p.nChild, p.type, p.clean, p.probPSF, p.insideMask, p.flags, p.rowc, p.rowcErr, p.colc, p.colcErr, p.rowv, p.rowvErr, p.colv, p.colvErr, p.rowc_u, p.rowc_g, p.rowc_r, p.rowc_i, p.rowc_z, p.rowcErr_u, p.rowcErr_g, p.rowcErr_r, p.rowcErr_i, p.rowcErr_z, p.colc_u, p.colc_g, p.colc_r, p.colc_i, p.colc_z, p.colcErr_u, p.colcErr_g, p.colcErr_r, p.colcErr_i, p.colcErr_z, p.sky_u, p.sky_g, p.sky_r, p.sky_i, p.sky_z, p.skyIvar_u, p.skyIvar_g, p.skyIvar_r, p.skyIvar_i, p.skyIvar_z, p.psfMag_u, p.psfMag_g, p.psfMag_r, p.psfMag_i, p.psfMag_z, p.psfMagErr_u, p.psfMagErr_g, p.psfMagErr_r, p.psfMagErr_i, p.psfMagErr_z, p.fiberMag_u, p.fiberMag_g, p.fiberMag_r, p.fiberMag_i, p.fiberMag_z, p.fiberMagErr_u, p.fiberMagErr_g, p.fiberMagErr_r, p.fiberMagErr_i, p.fiberMagErr_z, p.fiber2Mag_u, p.fiber2Mag_g, p.fiber2Mag_r, p.fiber2Mag_i, p.fiber2Mag_z, p.fiber2MagErr_u, p.fiber2MagErr_g, p.fiber2MagErr_r, p.fiber2MagErr_i, p.fiber2MagErr_z, p.petroMag_u, p.petroMag_g, p.petroMag_r, p.petroMag_i, p.petroMag_z, p.petroMagErr_u, p.petroMagErr_g, p.petroMagErr_r, p.petroMagErr_i, p.petroMagErr_z, p.psfFlux_u, p.psfFlux_g, p.psfFlux_r, p.psfFlux_i, p.psfFlux_z, p.psfFluxIvar_u, p.psfFluxIvar_g, p.psfFluxIvar_r, p.psfFluxIvar_i, p.psfFluxIvar_z, p.fiberFlux_u, p.fiberFlux_g, p.fiberFlux_r, p.fiberFlux_i, p.fiberFlux_z, p.fiberFluxIvar_u, p.fiberFluxIvar_g, p.fiberFluxIvar_r, p.fiberFluxIvar_i, p.fiberFluxIvar_z, p.fiber2Flux_u, p.fiber2Flux_g, p.fiber2Flux_r, p.fiber2Flux_i, p.fiber2Flux_z, p.fiber2FluxIvar_u, p.fiber2FluxIvar_g, p.fiber2FluxIvar_r, p.fiber2FluxIvar_i, p.fiber2FluxIvar_z, p.petroFlux_u, p.petroFlux_g, p.petroFlux_r, p.petroFlux_i, p.petroFlux_z, p.petroFluxIvar_u, p.petroFluxIvar_g, p.petroFluxIvar_r, p.petroFluxIvar_i, p.petroFluxIvar_z, p.petroRad_u, p.petroRad_g, p.petroRad_r, p.petroRad_i, p.petroRad_z, p.petroRadErr_u, p.petroRadErr_g, p.petroRadErr_r, p.petroRadErr_i, p.petroRadErr_z, p.petroR5#_u, p.petroR5#_g, p.petroR5#_r, p.petroR5#_i, p.petroR5#_z, p.petroR5#Err_u, p.petroR5#Err_g, p.petroR5#Err_r, p.petroR5#Err_i, p.petroR5#Err_z, p.petroR9#_u, p.petroR9#_g, p.petroR9#_r, p.petroR9#_i, p.petroR9#_z, p.petroR9#Err_u, p.petroR9#Err_g, p.petroR9#Err_r, p.petroR9#Err_i, p.petroR9#Err_z, p.q_u, p.q_g, p.q_r, p.q_i, p.q_z, p.qErr_u, p.qErr_g, p.qErr_r, p.qErr_i, p.qErr_z, p.u_u, p.u_g, p.u_r, p.u_i, p.u_z, p.uErr_u, p.uErr_g, p.uErr_r, p.uErr_i, p.uErr_z, p.mE1_u, p.mE1_g, p.mE1_r, p.mE1_i, p.mE1_z, p.mE2_u, p.mE2_g, p.mE2_r, p.mE2_i, p.mE2_z, p.mE1E1Err_u, p.mE1E1Err_g, p.mE1E1Err_r, p.mE1E1Err_i, p.mE1E1Err_z, p.mE1E2Err_u, p.mE1E2Err_g, p.mE1E2Err_r, p.mE1E2Err_i, p.mE1E2Err_z, p.mE2E2Err_u, p.mE2E2Err_g, p.mE2E2Err_r, p.mE2E2Err_i, p.mE2E2Err_z, p.mRrCc_u, p.mRrCc_g, p.mRrCc_r, p.mRrCc_i, p.mRrCc_z, p.mRrCcErr_u, p.mRrCcErr_g, p.mRrCcErr_r, p.mRrCcErr_i, p.mRrCcErr_z, p.mCr4_u, p.mCr4_g, p.mCr4_r, p.mCr4_i, p.mCr4_z, p.mE1PSF_u, p.mE1PSF_g, p.mE1PSF_r, p.mE1PSF_i, p.mE1PSF_z, p.mE2PSF_u, p.mE2PSF_g, p.mE2PSF_r, p.mE2PSF_i, p.mE2PSF_z, p.mRrCcPSF_u, p.mRrCcPSF_g, p.mRrCcPSF_r, p.mRrCcPSF_i, p.mRrCcPSF_z, p.mCr4PSF_u, p.mCr4PSF_g, p.mCr4PSF_r, p.mCr4PSF_i, p.mCr4PSF_z, p.deVRad_u, p.deVRad_g, p.deVRad_r, p.deVRad_i, p.deVRad_z, p.deVRadErr_u, p.deVRadErr_g, p.deVRadErr_r, p.deVRadErr_i, p.deVRadErr_z, p.deVAB_u, p.deVAB_g, p.deVAB_r, p.deVAB_i, p.deVAB_z, p.deVABErr_u, p.deVABErr_g, p.deVABErr_r, p.deVABErr_i, p.deVABErr_z, p.deVPhi_u, p.deVPhi_g, p.deVPhi_r, p.deVPhi_i, p.deVPhi_z, p.deVMag_u, p.deVMag_g, p.deVMag_r, p.deVMag_i, p.deVMag_z, p.deVMagErr_u, p.deVMagErr_g, p.deVMagErr_r, p.deVMagErr_i, p.deVMagErr_z, p.deVFlux_u, p.deVFlux_g, p.deVFlux_r, p.deVFlux_i, p.deVFlux_z, p.deVFluxIvar_u, p.deVFluxIvar_g, p.deVFluxIvar_r, p.deVFluxIvar_i, p.deVFluxIvar_z, p.expRad_u, p.expRad_g, p.expRad_r, p.expRad_i, p.expRad_z, p.expRadErr_u, p.expRadErr_g, p.expRadErr_r, p.expRadErr_i, p.expRadErr_z, p.expAB_u, p.expAB_g, p.expAB_r FROM PhotoObjAll AS p WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-06-26 19:00:00,1
2019-06-26 19:28:00,1
2019-06-26 19:38:00,1
2019-06-26 19:39:00,2
2019-06-26 19:41:00,3
2019-06-26 19:42:00,3
2019-06-26 19:51:00,1
2019-06-26 19:53:00,1
2019-06-26 20:08:00,3
2019-06-26 20:18:00,1
