121,"SELECT TOP # objid, ra, dec, u, g, r, i, z FROM Star WHERE r BETWEEN # AND # AND ra between # and # AND dec between # and #"
2019-04-11 20:43:00,1
2019-04-11 21:04:00,1
2019-04-11 21:09:00,1
2019-04-11 21:22:00,1
2019-04-14 16:27:00,1
2019-04-14 16:34:00,1
2019-04-14 16:43:00,1
2019-04-15 18:36:00,2
2019-04-15 18:38:00,1
2019-04-15 18:39:00,2
2019-04-15 18:41:00,2
2019-04-15 18:42:00,1
2019-04-15 18:43:00,2
2019-04-15 18:44:00,1
2019-04-15 18:45:00,2
2019-04-15 18:46:00,1
2019-04-15 18:48:00,1
2019-04-15 18:53:00,1
2019-04-15 18:54:00,1
2019-04-15 18:57:00,1
2019-04-15 18:58:00,1
2019-04-15 19:02:00,1
2019-04-15 19:04:00,1
2019-04-15 19:05:00,2
2019-04-15 19:11:00,1
2019-04-15 19:13:00,1
2019-04-15 19:17:00,1
2019-04-15 19:19:00,2
2019-04-15 19:32:00,1
2019-04-15 19:34:00,1
2019-04-15 19:39:00,1
2019-04-15 19:49:00,1
2019-04-15 19:58:00,1
2019-04-15 19:59:00,1
2019-04-15 20:00:00,1
2019-04-15 20:02:00,2
2019-04-15 20:04:00,1
2019-04-15 20:09:00,1
2019-04-15 20:12:00,1
2019-04-15 20:38:00,5
2019-04-15 20:39:00,5
2019-04-15 20:40:00,1
2019-04-15 20:41:00,2
2019-04-15 20:42:00,1
2019-04-15 20:44:00,1
2019-04-15 20:45:00,2
2019-04-15 20:47:00,1
2019-04-15 21:06:00,1
2019-04-15 21:08:00,1
2019-04-15 21:09:00,1
2019-04-15 21:14:00,1
2019-04-15 21:18:00,2
2019-04-15 21:23:00,1
2019-04-15 21:29:00,1
2019-04-15 21:37:00,1
2019-04-15 21:38:00,1
2019-04-15 21:39:00,1
2019-04-15 21:41:00,3
2019-04-16 20:39:00,1
2019-04-16 20:40:00,1
2019-04-16 20:43:00,2
2019-04-16 20:45:00,1
2019-04-16 20:46:00,2
2019-04-16 21:01:00,1
2019-04-16 21:03:00,1
2019-04-16 21:13:00,1
2019-04-16 21:20:00,1
2019-04-16 21:25:00,1
2019-04-16 21:29:00,1
2019-04-16 21:42:00,3
2019-04-16 21:43:00,1
2019-04-16 21:55:00,1
2019-04-16 22:11:00,1
2019-04-17 21:20:00,1
2019-04-18 22:48:00,1
2019-04-18 22:51:00,1
2019-04-20 17:21:00,2
2019-04-20 18:03:00,1
2019-04-20 18:05:00,1
2019-04-21 18:22:00,1
2019-04-21 18:45:00,1
2019-04-22 02:29:00,1
2019-04-22 06:59:00,1
2019-04-22 07:00:00,1
2019-04-22 08:12:00,1
2019-04-22 08:22:00,1
2019-04-22 08:24:00,1
2019-04-22 08:25:00,3
2019-04-23 15:15:00,1
2019-05-20 20:46:00,1
2019-05-20 20:49:00,1
2019-05-20 21:21:00,1
2019-05-20 21:29:00,1
