9,"select p.objid, p.ra, p.dec from galaxy p, dbo.fgetNearByObjEq (#, #, #) n where p.objid = n.objid"
2019-02-07 10:44:00,1
2019-02-08 13:46:00,1
2019-02-28 04:20:00,2
2019-07-18 09:01:00,1
2019-11-14 06:22:00,1
2019-11-21 09:08:00,2
2019-12-16 17:12:00,1
