2,"select top # objid, nvote, p_el, p_cw, p_acw, p_edge, p_dk, p_mg, p_cs, p_el_debiased, p_cs_debiased, spiral, elliptical, uncertain, p_el_debiased + p_cs_debiased as p_galaxy from zoospec where p_el < # and elliptical = #"
2019-10-27 13:03:00,1
2019-10-27 13:10:00,1
