2,"SELECT g.ra, g.dec, g.EW_OIII_#, f.petromag_u, f.petromag_g, f.petromag_r, f.petromag_i, f.petromag_z, f.petromagerr_u, f.petromagerr_g, f.petromagerr_r, f.petromagerr_i, f.petromagerr_z, g.z, f.objid, g.specobjid, g.EW_ha_# into mydb.SDSS_gal_dr1#_# FROM emissionLinesPort as g JOIN photoobjall as f on g.specobjid = f.specobjid"
2019-09-10 12:37:00,1
2019-09-10 12:40:00,1
