1544,"SELECT p.objID, p.ra, p.dec, p.dered_u, p.dered_g, p.dered_r, p.dered_i, p.dered_z, p.clean, p.flags, z.z as photoz, z.zErr as photozErr, s.specObjID as specObjID, s.z as specz, s.zErr as speczErr, dbo.fPhotoFlagsN (p.flags) as note from Galaxy as p LEFT OUTER JOIN photoz as z ON z.ObjID = p.ObjID LEFT OUTER JOIN specObjAll as s ON s.bestObjID = p.ObjID WHERE p.petroRad_r > # and p.dered_r < # and dered_r > # and p.dered_i < # and p.dered_z < # and (flags & dbo.fPhotoFlags (#) ) = # and (flags & dbo.fPhotoFlags (#) ) = # and (flags & dbo.fPhotoFlags (#) ) = # and # < = p.ra and p.ra < = # and # < = p.dec and p.dec < = #"
2019-03-27 12:56:00,1
2019-03-27 13:09:00,1
2019-03-27 13:11:00,9
2019-03-27 13:12:00,9
2019-03-27 13:13:00,8
2019-03-27 13:14:00,9
2019-03-27 13:15:00,5
2019-03-27 13:16:00,6
2019-03-27 13:17:00,4
2019-03-27 13:18:00,7
2019-03-27 13:19:00,8
2019-03-27 13:20:00,9
2019-03-27 13:21:00,3
2019-03-27 13:22:00,8
2019-03-27 13:23:00,4
2019-03-27 13:24:00,5
2019-03-27 13:25:00,7
2019-03-27 13:26:00,6
2019-03-27 13:27:00,1
2019-03-27 13:28:00,2
2019-03-27 13:29:00,4
2019-03-27 13:30:00,5
2019-03-27 13:31:00,2
2019-03-27 13:32:00,2
2019-03-27 13:33:00,3
2019-03-27 13:34:00,6
2019-03-27 13:35:00,9
2019-03-27 13:36:00,8
2019-03-27 13:37:00,4
2019-03-27 13:38:00,5
2019-03-27 13:39:00,9
2019-03-27 13:40:00,6
2019-03-27 13:41:00,3
2019-03-27 13:42:00,2
2019-03-27 13:43:00,10
2019-03-27 13:44:00,6
2019-03-27 13:45:00,9
2019-03-27 13:46:00,10
2019-03-27 13:47:00,9
2019-03-27 13:48:00,5
2019-03-27 13:49:00,6
2019-03-27 13:50:00,8
2019-03-27 13:51:00,12
2019-03-27 13:52:00,11
2019-03-27 13:53:00,9
2019-03-27 13:54:00,3
2019-03-27 13:55:00,7
2019-03-27 13:56:00,11
2019-03-27 13:57:00,11
2019-03-27 13:58:00,11
2019-03-27 13:59:00,11
2019-03-27 14:00:00,11
2019-03-27 14:01:00,11
2019-03-27 14:02:00,10
2019-03-27 14:03:00,10
2019-03-27 14:04:00,11
2019-03-27 14:05:00,12
2019-03-27 14:06:00,11
2019-03-27 14:07:00,11
2019-03-27 14:08:00,6
2019-03-27 14:09:00,7
2019-03-27 14:10:00,3
2019-03-27 14:11:00,6
2019-03-27 14:12:00,4
2019-03-27 14:13:00,2
2019-03-27 14:14:00,6
2019-03-27 14:15:00,7
2019-03-27 14:16:00,8
2019-03-27 14:17:00,9
2019-03-27 14:18:00,7
2019-03-27 14:19:00,9
2019-03-27 14:20:00,9
2019-03-27 14:21:00,10
2019-03-27 14:22:00,4
2019-03-27 14:23:00,6
2019-03-27 14:24:00,9
2019-03-27 14:25:00,9
2019-03-27 14:26:00,8
2019-03-27 14:27:00,7
2019-03-27 14:28:00,8
2019-03-27 14:29:00,9
2019-03-27 14:30:00,8
2019-03-27 14:31:00,4
2019-03-27 14:32:00,5
2019-03-27 14:33:00,8
2019-03-27 14:34:00,8
2019-03-27 14:35:00,7
2019-03-27 14:36:00,8
2019-03-27 14:37:00,4
2019-03-27 14:38:00,2
2019-03-27 14:39:00,1
2019-03-27 14:40:00,6
2019-03-27 14:41:00,9
2019-03-27 14:42:00,8
2019-03-27 14:43:00,7
2019-03-27 14:44:00,2
2019-03-27 14:45:00,4
2019-03-27 14:46:00,7
2019-03-27 14:47:00,7
2019-03-27 14:48:00,5
2019-03-27 14:49:00,6
2019-03-27 14:51:00,1
2019-03-27 14:52:00,1
2019-03-27 14:53:00,1
2019-03-27 14:54:00,3
2019-03-27 14:55:00,2
2019-03-27 14:56:00,1
2019-03-27 14:57:00,1
2019-03-27 14:58:00,1
2019-03-27 14:59:00,2
2019-03-27 15:00:00,8
2019-03-27 15:01:00,7
2019-03-27 15:02:00,11
2019-03-27 15:03:00,11
2019-03-27 15:04:00,10
2019-03-27 15:05:00,7
2019-03-27 15:06:00,5
2019-03-27 15:07:00,1
2019-03-27 15:08:00,1
2019-03-27 15:09:00,1
2019-03-27 15:10:00,6
2019-03-27 15:11:00,8
2019-03-27 15:12:00,8
2019-03-27 15:13:00,8
2019-03-27 15:14:00,8
2019-03-27 15:15:00,9
2019-03-27 15:16:00,4
2019-03-27 15:17:00,6
2019-03-27 15:18:00,9
2019-03-27 15:19:00,9
2019-03-27 15:20:00,9
2019-03-27 15:21:00,8
2019-03-27 15:22:00,6
2019-03-27 15:23:00,7
2019-03-27 15:24:00,9
2019-03-27 15:25:00,5
2019-03-27 15:26:00,7
2019-03-27 15:27:00,8
2019-03-27 15:28:00,6
2019-03-27 15:29:00,6
2019-03-27 15:30:00,8
2019-03-27 15:31:00,7
2019-03-27 15:32:00,8
2019-03-27 15:33:00,5
2019-03-27 15:34:00,2
2019-03-27 15:35:00,6
2019-03-27 15:36:00,4
2019-03-27 15:37:00,8
2019-03-27 15:38:00,3
2019-03-27 15:39:00,1
2019-03-27 15:40:00,1
2019-03-27 15:41:00,1
2019-03-27 15:42:00,1
2019-03-27 15:43:00,5
2019-03-27 15:44:00,2
2019-03-27 15:45:00,4
2019-03-27 15:46:00,3
2019-03-27 15:47:00,6
2019-03-27 15:48:00,2
2019-03-27 15:49:00,2
2019-03-27 15:50:00,8
2019-03-27 15:51:00,4
2019-03-27 15:52:00,4
2019-03-27 15:53:00,4
2019-03-27 15:54:00,2
2019-03-27 15:55:00,5
2019-03-27 15:56:00,9
2019-03-27 15:57:00,4
2019-03-27 15:58:00,7
2019-03-27 15:59:00,5
2019-03-27 16:00:00,3
2019-03-27 16:01:00,6
2019-03-27 16:02:00,1
2019-03-27 16:03:00,3
2019-03-27 16:04:00,3
2019-03-27 16:05:00,2
2019-03-27 16:06:00,6
2019-03-27 16:07:00,3
2019-03-27 16:08:00,5
2019-03-27 16:09:00,1
2019-03-27 16:10:00,2
2019-03-27 16:11:00,4
2019-03-27 16:12:00,9
