30,"SELECT # + cast (x.objId as varchar (#) ) + #+ cast (x.objId as varchar (#) ) + # as objID, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field, dbo.fPhotoTypeN (p.type) as type, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z FROM #x x, #upload u, PhotoTag p WHERE u.up_id = x.up_id and x.objID = p.objID ORDER BY x.up_id"
2019-02-13 16:35:00,2
2019-02-13 16:38:00,1
2019-02-13 16:41:00,1
2019-02-25 06:43:00,1
2019-03-04 19:14:00,1
2019-04-05 04:20:00,2
2019-04-05 04:21:00,1
2019-04-05 04:23:00,1
2019-04-05 04:24:00,1
2019-06-11 02:40:00,1
2019-06-11 02:41:00,1
2019-06-11 02:42:00,1
2019-06-20 02:55:00,1
2019-06-26 18:05:00,1
2019-06-26 18:11:00,1
2019-06-26 18:14:00,1
2019-08-01 23:46:00,1
2019-08-11 13:56:00,1
2019-10-08 20:35:00,1
2019-10-11 16:06:00,1
2019-10-11 16:12:00,1
2019-10-15 17:47:00,1
2019-11-29 15:11:00,1
2019-11-29 15:13:00,1
2019-11-29 15:15:00,1
2019-11-29 15:17:00,1
2019-11-29 15:18:00,1
2019-11-29 15:19:00,1
