260,"SELECT s.specobjid, s.ra, s.dec, s.plate, s.mjd, s.fiberid FROM #upload u JOIN SpecObjAll s ON (s.plate = u.up_plate AND s.mjd = u.up_mjd AND s.fiberID = u.up_fiber) ##', @log = #, @filter = #"
2019-01-07 20:40:00,1
2019-01-07 22:57:00,1
2019-01-08 00:55:00,1
2019-01-08 00:57:00,1
2019-01-08 01:07:00,1
2019-01-08 01:11:00,1
2019-01-08 01:21:00,1
2019-01-08 01:37:00,1
2019-01-08 01:50:00,1
2019-01-08 15:11:00,1
2019-01-08 15:39:00,1
2019-01-10 20:13:00,1
2019-01-15 03:49:00,1
2019-01-22 20:35:00,1
2019-01-23 16:08:00,1
2019-01-24 17:49:00,1
2019-01-24 19:09:00,2
2019-01-24 19:10:00,1
2019-01-24 19:27:00,1
2019-01-24 19:34:00,2
2019-01-24 19:36:00,1
2019-01-24 19:39:00,1
2019-01-27 18:57:00,1
2019-01-28 15:47:00,1
2019-01-28 15:49:00,2
2019-01-28 15:50:00,2
2019-01-29 19:42:00,1
2019-01-31 04:11:00,1
2019-02-06 05:32:00,1
2019-02-07 01:38:00,1
2019-02-13 02:56:00,1
2019-02-13 03:53:00,2
2019-02-13 05:01:00,1
2019-02-13 05:15:00,1
2019-02-13 05:34:00,1
2019-02-14 00:29:00,1
2019-02-14 00:35:00,1
2019-02-16 03:37:00,1
2019-02-16 04:02:00,1
2019-02-16 04:04:00,1
2019-02-16 20:39:00,1
2019-02-16 20:40:00,1
2019-02-19 21:13:00,1
2019-02-21 00:26:00,1
2019-02-22 20:54:00,1
2019-03-04 10:42:00,1
2019-03-05 21:31:00,1
2019-03-06 18:36:00,1
2019-03-06 21:02:00,1
2019-03-07 04:38:00,1
2019-03-12 19:20:00,1
2019-03-15 00:12:00,1
2019-03-18 19:45:00,1
2019-03-18 22:58:00,1
2019-03-24 19:35:00,1
2019-03-26 18:43:00,1
2019-03-26 19:56:00,2
2019-03-26 19:58:00,1
2019-03-26 20:10:00,2
2019-03-26 20:11:00,1
2019-03-26 20:14:00,1
2019-03-26 20:18:00,1
2019-03-26 20:40:00,1
2019-03-26 20:41:00,2
2019-03-26 20:42:00,1
2019-03-26 20:44:00,3
2019-03-27 04:48:00,2
2019-03-27 06:51:00,1
2019-03-28 04:20:00,1
2019-03-28 04:28:00,1
2019-04-07 11:10:00,1
2019-04-08 01:16:00,1
2019-04-08 02:03:00,2
2019-04-08 08:06:00,1
2019-04-10 22:05:00,1
2019-04-10 22:43:00,1
2019-04-18 15:41:00,1
2019-04-18 18:49:00,1
2019-04-26 17:37:00,1
2019-04-30 11:12:00,1
2019-04-30 11:13:00,1
2019-04-30 12:07:00,1
2019-05-06 12:12:00,1
2019-05-09 22:21:00,1
2019-05-09 22:24:00,1
2019-05-09 22:28:00,1
2019-05-24 08:04:00,1
2019-05-28 01:44:00,1
2019-05-28 01:45:00,1
2019-05-28 01:46:00,1
2019-05-28 21:15:00,1
2019-05-30 08:24:00,2
2019-06-17 15:17:00,1
2019-06-17 15:19:00,2
2019-06-17 15:28:00,2
2019-06-18 00:47:00,1
2019-06-18 00:49:00,2
2019-06-18 00:53:00,2
2019-06-18 00:57:00,1
2019-06-18 00:59:00,1
2019-06-18 01:00:00,2
2019-06-18 01:11:00,1
2019-06-20 08:56:00,1
2019-06-20 23:16:00,1
2019-06-21 14:23:00,1
2019-06-24 14:16:00,1
2019-06-26 12:16:00,2
2019-06-27 14:37:00,1
2019-07-01 22:57:00,1
2019-07-02 19:54:00,1
2019-07-10 13:53:00,1
2019-07-10 14:17:00,1
2019-07-10 14:20:00,1
2019-07-10 14:31:00,1
2019-07-10 15:21:00,1
2019-07-14 08:40:00,2
2019-07-14 09:29:00,1
2019-07-16 05:03:00,1
2019-07-22 13:59:00,1
2019-07-22 15:03:00,1
2019-07-22 20:02:00,1
2019-07-22 20:20:00,1
2019-07-22 22:05:00,1
2019-07-24 04:36:00,1
2019-07-24 14:53:00,1
2019-07-25 19:33:00,1
2019-07-30 19:59:00,2
2019-07-30 20:11:00,1
2019-07-30 20:13:00,1
2019-07-30 20:14:00,1
2019-07-30 21:29:00,1
2019-08-07 00:05:00,1
2019-08-07 00:15:00,1
2019-08-07 00:31:00,1
2019-08-07 00:32:00,1
2019-08-07 15:38:00,1
2019-08-07 15:40:00,1
2019-08-07 15:43:00,1
2019-08-07 15:46:00,1
2019-08-07 15:50:00,1
2019-08-07 18:37:00,1
2019-08-08 17:52:00,1
2019-08-08 17:53:00,1
2019-08-08 17:59:00,1
2019-08-08 18:15:00,1
2019-08-08 19:15:00,1
2019-08-08 19:27:00,1
2019-08-09 00:35:00,1
2019-08-09 00:38:00,1
2019-08-13 05:58:00,1
2019-08-13 06:34:00,1
2019-08-13 19:26:00,1
2019-08-13 21:44:00,1
2019-08-14 18:03:00,1
2019-08-16 20:19:00,1
2019-08-20 18:40:00,1
2019-08-20 18:52:00,2
2019-08-22 04:53:00,1
2019-08-22 22:36:00,1
2019-08-22 22:37:00,2
2019-08-29 21:55:00,1
2019-09-03 05:54:00,1
2019-09-03 06:09:00,1
2019-09-03 08:08:00,1
2019-09-03 08:09:00,1
2019-09-09 11:31:00,1
2019-09-11 16:59:00,1
2019-09-11 17:06:00,1
2019-09-18 15:48:00,1
2019-09-19 18:23:00,1
2019-09-20 01:09:00,1
2019-09-21 15:52:00,1
2019-09-21 15:53:00,1
2019-09-22 02:03:00,1
2019-09-22 02:07:00,1
2019-09-22 02:08:00,1
2019-09-23 17:17:00,1
2019-09-23 17:23:00,1
2019-09-25 16:28:00,1
2019-09-25 17:29:00,1
2019-09-25 17:30:00,1
2019-10-03 19:11:00,1
2019-10-04 19:31:00,1
2019-10-07 23:22:00,1
2019-10-08 23:48:00,1
2019-10-10 07:04:00,1
2019-10-10 18:38:00,1
2019-10-16 04:48:00,2
2019-10-16 04:50:00,1
2019-10-16 04:51:00,1
2019-10-16 04:53:00,1
2019-10-16 04:55:00,1
2019-10-16 04:56:00,1
2019-10-16 08:03:00,1
2019-10-17 07:31:00,1
2019-10-17 19:00:00,1
2019-10-18 19:37:00,1
2019-10-18 19:38:00,1
2019-10-23 20:41:00,1
2019-10-24 04:56:00,1
2019-10-24 05:02:00,2
2019-10-24 05:33:00,1
2019-10-25 17:32:00,2
2019-10-25 17:33:00,1
2019-10-25 17:52:00,1
2019-10-25 18:05:00,1
2019-10-25 18:16:00,1
2019-10-25 20:22:00,1
2019-10-25 20:24:00,1
2019-10-25 20:28:00,1
2019-10-25 20:35:00,1
2019-10-26 21:44:00,1
2019-10-28 17:53:00,1
2019-10-29 21:58:00,1
2019-11-01 17:23:00,1
2019-11-01 19:32:00,1
2019-11-01 19:37:00,1
2019-11-02 19:54:00,1
2019-11-02 21:06:00,1
2019-11-08 18:31:00,1
2019-11-08 20:25:00,1
2019-11-11 21:27:00,1
2019-11-11 21:29:00,1
2019-11-11 21:34:00,1
2019-11-15 07:39:00,1
2019-11-18 22:58:00,1
2019-11-20 07:11:00,1
2019-11-21 00:15:00,1
2019-11-21 20:23:00,1
2019-11-25 12:49:00,1
2019-11-25 12:50:00,1
2019-11-25 12:51:00,1
2019-12-05 20:29:00,1
2019-12-30 23:51:00,1
