982,"SELECT TOP # p.run, p.rerun, p.camCol, p.field, p.obj FROM ..PhotoObj AS p JOIN dbo.fGetNearbyObjEq (#, #, #) AS b ON b.objID = P.objID WHERE (p.type = # OR p.type = #)"
2019-01-02 02:39:00,1
2019-01-02 02:40:00,2
2019-01-02 15:01:00,1
2019-01-03 05:16:00,1
2019-01-04 06:58:00,1
2019-01-04 16:50:00,1
2019-01-04 19:59:00,1
2019-01-04 23:42:00,1
2019-01-05 09:16:00,2
2019-01-05 09:18:00,1
2019-01-07 08:36:00,1
2019-01-07 13:10:00,1
2019-01-08 08:11:00,1
2019-01-08 09:02:00,1
2019-01-08 09:04:00,1
2019-01-08 19:21:00,1
2019-01-09 01:27:00,1
2019-01-09 01:29:00,1
2019-01-09 02:11:00,1
2019-01-09 02:14:00,1
2019-01-09 13:28:00,1
2019-01-09 20:35:00,1
2019-01-10 06:35:00,1
2019-01-10 06:39:00,1
2019-01-10 14:40:00,2
2019-01-10 18:03:00,1
2019-01-11 03:44:00,1
2019-01-11 07:35:00,1
2019-01-12 15:26:00,1
2019-01-13 17:34:00,1
2019-01-15 04:08:00,1
2019-01-15 17:39:00,1
2019-01-16 07:47:00,5
2019-01-16 08:22:00,1
2019-01-16 16:02:00,1
2019-01-17 11:41:00,1
2019-01-17 17:14:00,1
2019-01-17 23:24:00,2
2019-01-18 17:44:00,1
2019-01-18 23:04:00,1
2019-01-18 23:31:00,1
2019-01-19 08:55:00,1
2019-01-20 06:41:00,1
2019-01-20 08:55:00,1
2019-01-21 07:26:00,1
2019-01-22 12:17:00,1
2019-01-22 14:45:00,1
2019-01-22 22:07:00,1
2019-01-23 12:10:00,1
2019-01-23 15:56:00,1
2019-01-24 07:12:00,1
2019-01-24 08:06:00,1
2019-01-24 08:07:00,1
2019-01-25 01:40:00,1
2019-01-25 13:59:00,1
2019-01-25 14:26:00,1
2019-01-26 01:42:00,1
2019-01-26 01:44:00,1
2019-01-26 01:45:00,1
2019-01-26 02:32:00,1
2019-01-26 17:05:00,1
2019-01-27 02:20:00,1
2019-01-27 11:41:00,1
2019-01-27 15:09:00,1
2019-01-27 15:10:00,2
2019-01-27 19:28:00,1
2019-01-27 19:31:00,1
2019-01-27 19:33:00,1
2019-01-27 19:36:00,1
2019-01-27 20:02:00,1
2019-01-27 20:03:00,2
2019-01-27 20:04:00,1
2019-01-27 20:10:00,1
2019-01-27 20:11:00,1
2019-01-27 20:34:00,1
2019-01-28 02:56:00,2
2019-01-28 10:04:00,1
2019-01-28 13:31:00,1
2019-01-28 17:29:00,1
2019-01-28 23:05:00,2
2019-01-29 16:05:00,1
2019-01-29 21:24:00,1
2019-01-31 03:42:00,1
2019-01-31 16:01:00,2
2019-01-31 16:37:00,1
2019-01-31 20:30:00,1
2019-01-31 20:34:00,1
2019-01-31 20:48:00,1
2019-01-31 21:35:00,1
2019-02-01 03:58:00,1
2019-02-01 04:00:00,1
2019-02-01 10:09:00,1
2019-02-01 10:52:00,1
2019-02-01 15:48:00,1
2019-02-01 15:49:00,1
2019-02-01 20:03:00,1
2019-02-01 20:08:00,1
2019-02-01 20:25:00,1
2019-02-01 20:26:00,1
2019-02-01 20:28:00,1
2019-02-01 20:40:00,1
2019-02-01 20:47:00,1
2019-02-01 20:53:00,1
2019-02-01 20:55:00,1
2019-02-02 09:02:00,1
2019-02-02 09:33:00,1
2019-02-02 09:34:00,2
2019-02-02 19:47:00,1
2019-02-03 02:03:00,1
2019-02-03 02:20:00,1
2019-02-03 18:38:00,1
2019-02-04 01:30:00,1
2019-02-04 01:50:00,1
2019-02-05 17:59:00,1
2019-02-05 19:42:00,1
2019-02-06 15:38:00,1
2019-02-06 15:39:00,1
2019-02-07 10:13:00,1
2019-02-07 11:29:00,1
2019-02-07 11:30:00,1
2019-02-07 20:45:00,1
2019-02-08 19:24:00,1
2019-02-09 20:12:00,1
2019-02-09 20:13:00,2
2019-02-09 20:14:00,1
2019-02-10 01:18:00,2
2019-02-11 05:10:00,1
2019-02-11 05:53:00,1
2019-02-11 07:42:00,1
2019-02-11 07:43:00,1
2019-02-11 14:03:00,1
2019-02-12 13:12:00,2
2019-02-12 14:08:00,1
2019-02-13 07:27:00,1
2019-02-14 04:46:00,1
2019-02-14 21:24:00,2
2019-02-15 17:57:00,1
2019-02-16 06:10:00,1
2019-02-16 06:11:00,1
2019-02-16 14:17:00,1
2019-02-16 14:18:00,1
2019-02-16 14:19:00,1
2019-02-17 08:06:00,1
2019-02-17 10:28:00,1
2019-02-18 12:42:00,1
2019-02-18 14:33:00,1
2019-02-19 00:38:00,1
2019-02-19 00:39:00,1
2019-02-19 00:52:00,1
2019-02-19 01:00:00,1
2019-02-19 07:52:00,1
2019-02-19 10:59:00,1
2019-02-19 14:05:00,1
2019-02-19 19:01:00,1
2019-02-20 18:20:00,1
2019-02-20 22:57:00,1
2019-02-23 01:32:00,1
2019-02-23 01:33:00,1
2019-02-24 19:37:00,1
2019-02-25 20:34:00,1
2019-02-26 17:41:00,1
2019-02-28 04:07:00,1
2019-02-28 04:08:00,1
2019-02-28 04:09:00,2
2019-02-28 04:15:00,1
2019-02-28 04:21:00,1
2019-02-28 04:22:00,1
2019-02-28 04:28:00,1
2019-02-28 19:13:00,1
2019-03-01 11:06:00,1
2019-03-01 11:31:00,1
2019-03-01 15:05:00,1
2019-03-01 15:25:00,1
2019-03-01 15:28:00,1
2019-03-01 16:09:00,1
2019-03-01 16:41:00,1
2019-03-01 16:46:00,1
2019-03-01 17:08:00,1
2019-03-01 17:18:00,1
2019-03-01 17:19:00,2
2019-03-02 04:23:00,1
2019-03-02 23:09:00,1
2019-03-04 11:46:00,1
2019-03-04 11:47:00,1
2019-03-04 12:18:00,1
2019-03-04 14:01:00,1
2019-03-04 14:09:00,1
2019-03-05 14:43:00,2
2019-03-08 13:27:00,2
2019-03-08 20:59:00,1
2019-03-08 21:40:00,1
2019-03-09 13:26:00,1
2019-03-11 01:07:00,2
2019-03-11 19:44:00,1
2019-03-11 20:06:00,1
2019-03-12 11:22:00,1
2019-03-13 10:08:00,1
2019-03-13 14:14:00,2
2019-03-13 14:15:00,1
2019-03-13 15:39:00,2
2019-03-14 13:30:00,1
2019-03-14 13:32:00,1
2019-03-14 13:36:00,1
2019-03-14 23:46:00,1
2019-03-15 09:45:00,1
2019-03-15 12:02:00,1
2019-03-15 19:32:00,1
2019-03-15 19:33:00,1
2019-03-17 14:39:00,1
2019-03-18 10:16:00,1
2019-03-18 10:38:00,1
2019-03-18 15:02:00,1
2019-03-18 23:49:00,1
2019-03-19 00:27:00,1
2019-03-19 07:06:00,1
2019-03-19 18:19:00,1
2019-03-21 11:49:00,3
2019-03-21 11:50:00,1
2019-03-22 01:09:00,1
2019-03-22 11:21:00,1
2019-03-24 17:51:00,1
2019-03-24 19:18:00,1
2019-03-25 04:10:00,1
2019-03-25 22:47:00,1
2019-03-25 22:52:00,1
2019-03-25 22:53:00,1
2019-03-25 23:02:00,1
2019-03-25 23:45:00,1
2019-03-26 01:46:00,1
2019-03-26 17:27:00,1
2019-03-26 17:29:00,1
2019-03-26 17:30:00,1
2019-03-26 17:31:00,2
2019-03-26 17:35:00,1
2019-03-27 14:42:00,1
2019-03-28 13:22:00,1
2019-03-28 19:48:00,1
2019-03-28 21:49:00,1
2019-03-29 14:12:00,1
2019-03-29 18:11:00,1
2019-03-29 19:26:00,2
2019-03-29 20:01:00,1
2019-03-29 20:22:00,1
2019-04-01 04:02:00,1
2019-04-01 09:14:00,1
2019-04-01 10:01:00,1
2019-04-01 10:07:00,1
2019-04-02 09:15:00,1
2019-04-02 14:28:00,1
2019-04-02 14:59:00,2
2019-04-02 15:00:00,1
2019-04-02 15:01:00,1
2019-04-02 23:29:00,1
2019-04-04 21:12:00,1
2019-04-05 01:09:00,1
2019-04-05 03:06:00,1
2019-04-07 01:53:00,1
2019-04-08 03:51:00,1
2019-04-08 15:16:00,1
2019-04-08 21:32:00,1
2019-04-08 21:33:00,2
2019-04-08 21:36:00,1
2019-04-09 07:34:00,1
2019-04-09 18:36:00,1
2019-04-09 20:41:00,1
2019-04-10 06:05:00,1
2019-04-10 08:17:00,1
2019-04-10 08:22:00,1
2019-04-10 08:23:00,1
2019-04-11 16:02:00,1
2019-04-11 16:04:00,2
2019-04-13 00:36:00,1
2019-04-13 00:41:00,1
2019-04-13 00:49:00,1
2019-04-13 02:18:00,2
2019-04-13 02:19:00,1
2019-04-14 18:31:00,2
2019-04-15 22:05:00,2
2019-04-16 07:15:00,1
2019-04-16 07:21:00,1
2019-04-16 18:16:00,1
2019-04-16 18:17:00,1
2019-04-17 01:01:00,1
2019-04-17 04:46:00,1
2019-04-17 20:03:00,2
2019-04-17 20:25:00,1
2019-04-17 20:31:00,1
2019-04-17 20:32:00,1
2019-04-18 10:49:00,1
2019-04-18 10:50:00,1
2019-04-18 16:20:00,1
2019-04-19 21:13:00,1
2019-04-20 05:42:00,1
2019-04-20 14:34:00,1
2019-04-21 04:59:00,1
2019-04-21 09:04:00,1
2019-04-22 06:38:00,1
2019-04-22 21:00:00,1
2019-04-23 07:55:00,1
2019-04-23 23:08:00,1
2019-04-24 10:57:00,1
2019-04-24 14:16:00,1
2019-04-24 16:14:00,1
2019-04-25 01:59:00,1
2019-04-25 02:00:00,1
2019-04-25 09:38:00,1
2019-04-25 19:36:00,1
2019-04-25 19:51:00,1
2019-04-25 19:52:00,1
2019-04-26 03:34:00,1
2019-04-26 04:46:00,1
2019-04-26 19:40:00,1
2019-04-27 23:46:00,1
2019-04-28 16:29:00,1
2019-04-30 10:23:00,1
2019-05-02 19:06:00,1
2019-05-02 19:09:00,1
2019-05-02 20:59:00,1
2019-05-02 21:52:00,1
2019-05-03 00:59:00,1
2019-05-03 01:00:00,2
2019-05-03 22:13:00,1
2019-05-05 18:22:00,1
2019-05-08 00:14:00,1
2019-05-08 00:15:00,1
2019-05-08 09:03:00,2
2019-05-08 09:54:00,1
2019-05-08 13:39:00,1
2019-05-08 17:43:00,1
2019-05-08 20:24:00,2
2019-05-08 21:05:00,2
2019-05-08 21:26:00,1
2019-05-09 03:44:00,1
2019-05-09 11:52:00,2
2019-05-09 12:32:00,1
2019-05-09 14:51:00,1
2019-05-09 15:30:00,1
2019-05-09 17:36:00,1
2019-05-10 01:41:00,1
2019-05-10 11:23:00,1
2019-05-10 16:36:00,1
2019-05-11 08:00:00,1
2019-05-14 12:22:00,1
2019-05-14 13:26:00,1
2019-05-15 03:24:00,2
2019-05-15 03:25:00,1
2019-05-15 14:01:00,1
2019-05-16 08:27:00,3
2019-05-16 14:42:00,1
2019-05-16 15:50:00,1
2019-05-16 15:52:00,2
2019-05-17 03:27:00,1
2019-05-17 04:31:00,2
2019-05-17 04:33:00,1
2019-05-17 04:34:00,1
2019-05-17 04:40:00,1
2019-05-17 04:49:00,1
2019-05-17 04:50:00,1
2019-05-17 04:57:00,1
2019-05-17 04:58:00,1
2019-05-17 04:59:00,1
2019-05-17 08:40:00,1
2019-05-17 14:12:00,1
2019-05-17 14:24:00,1
2019-05-19 06:51:00,1
2019-05-19 06:52:00,2
2019-05-19 07:12:00,1
2019-05-19 10:21:00,1
2019-05-19 10:26:00,1
2019-05-19 10:31:00,1
2019-05-19 10:36:00,2
2019-05-20 13:45:00,1
2019-05-20 13:46:00,1
2019-05-20 14:34:00,1
2019-05-20 17:31:00,1
2019-05-20 17:44:00,1
2019-05-20 20:51:00,1
2019-05-20 21:21:00,1
2019-05-21 11:20:00,1
2019-05-21 12:35:00,1
2019-05-21 15:25:00,1
2019-05-21 15:27:00,1
2019-05-23 01:31:00,1
2019-05-23 21:30:00,1
2019-05-23 21:32:00,1
2019-05-24 15:41:00,1
2019-05-25 03:00:00,1
2019-05-25 03:01:00,2
2019-05-25 03:02:00,1
2019-05-25 03:03:00,1
2019-05-25 09:08:00,1
2019-05-27 12:13:00,1
2019-05-28 15:15:00,1
2019-05-28 15:16:00,2
2019-05-28 15:17:00,2
2019-05-28 15:23:00,1
2019-05-28 15:25:00,1
2019-05-28 15:28:00,1
2019-05-29 07:06:00,1
2019-05-29 21:58:00,1
2019-05-29 22:07:00,1
2019-05-30 16:09:00,3
2019-05-30 23:03:00,1
2019-05-31 02:49:00,2
2019-05-31 16:11:00,1
2019-06-01 13:36:00,1
2019-06-02 18:38:00,1
2019-06-03 03:58:00,1
2019-06-03 15:06:00,2
2019-06-03 22:53:00,2
2019-06-03 22:57:00,1
2019-06-03 23:48:00,1
2019-06-04 19:15:00,1
2019-06-05 06:22:00,1
2019-06-06 21:13:00,2
2019-06-06 22:20:00,1
2019-06-07 08:09:00,1
2019-06-07 17:40:00,1
2019-06-07 18:18:00,1
2019-06-09 05:10:00,2
2019-06-09 10:36:00,1
2019-06-10 17:54:00,1
2019-06-10 17:55:00,1
2019-06-11 00:58:00,1
2019-06-11 15:02:00,1
2019-06-11 18:26:00,1
2019-06-11 21:35:00,1
2019-06-11 21:36:00,1
2019-06-14 08:10:00,1
2019-06-14 09:59:00,1
2019-06-14 15:04:00,1
2019-06-16 19:19:00,1
2019-06-17 13:36:00,1
2019-06-17 13:46:00,1
2019-06-17 13:54:00,1
