274,"SELECT up_id, dbo.fGetNearestObjIdEq (up_ra, up_dec, #) as objId FROM #upload WHERE dbo.fGetNearestObjIdEq (up_ra, up_dec, #) IS NOT # EXEC spExecuteSQL #'< a target = INFO href = http://skyserver.sdss.org/DR1#/en/tools/explore/obj.aspx? id = # + cast (x.objId as varchar (#) ) + #> #+ cast (x.objId as varchar (#) ) + #< /a> # as objID, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field, dbo.fPhotoTypeN (p.type) as type, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z, s.specObjID, s.plate, s.mjd, s.fiberID, s.z FROM #upload u JOIN #x x ON x.up_id = u.up_id JOIN PhotoTag p ON p.objID = x.objID JOIN SpecObjAll s ON p.objID = s.bestObjID ORDER by x.up_id ##', @log = #, @filter = #"
2019-07-19 12:40:00,1
2019-07-19 12:51:00,1
2019-07-19 16:20:00,1
2019-07-19 18:42:00,3
2019-07-22 08:05:00,1
2019-07-29 14:25:00,1
2019-07-29 14:30:00,1
2019-07-29 14:31:00,1
2019-07-29 14:37:00,1
2019-08-05 19:34:00,1
2019-08-08 06:15:00,1
2019-08-09 04:22:00,1
2019-08-12 10:09:00,1
2019-08-12 10:13:00,1
2019-08-13 06:12:00,1
2019-08-13 06:15:00,1
2019-08-13 06:23:00,1
2019-08-16 05:29:00,1
2019-08-16 05:30:00,1
2019-08-26 20:12:00,1
2019-08-31 09:27:00,1
2019-08-31 09:28:00,1
2019-08-31 09:32:00,1
2019-09-16 10:21:00,1
2019-09-16 11:17:00,2
2019-09-16 11:18:00,1
2019-09-16 18:22:00,2
2019-09-17 07:10:00,1
2019-10-01 05:43:00,1
2019-10-01 05:45:00,1
2019-10-01 05:51:00,1
2019-10-01 05:54:00,1
2019-10-08 04:57:00,1
2019-10-10 09:19:00,1
2019-10-11 01:47:00,1
2019-10-15 22:15:00,1
2019-10-15 22:16:00,1
2019-10-15 22:20:00,1
2019-10-16 13:03:00,1
2019-10-31 13:51:00,1
2019-10-31 13:52:00,1
2019-11-07 10:40:00,1
2019-11-10 14:04:00,1
2019-11-14 12:11:00,2
2019-11-19 14:56:00,1
2019-11-20 12:59:00,1
2019-12-02 05:18:00,1
2019-12-03 11:22:00,1
2019-12-03 11:55:00,1
2019-12-03 12:07:00,1
2019-12-03 12:19:00,1
2019-12-05 06:17:00,1
2019-12-05 22:47:00,1
2019-12-06 13:01:00,1
2019-12-06 13:38:00,1
2019-12-10 09:00:00,1
2019-12-11 11:52:00,1
2019-12-19 22:30:00,1
2019-12-19 22:33:00,1
2019-12-19 22:35:00,1
2019-12-24 14:12:00,1
