2,"SELECT oiii_#_flux, oii_#_flux, oii_#_flux, nii_#_flux, h_beta_flux, h_alpha_flux INTO mydb.nearGalaxiesFluxes_AGN FROM dr1#.galSpecLine WHERE specObjID IN (SELECT specObjID FROM dr1#.galSpecInfo WHERE z < # AND spectrotype = # AND sn_median > # AND specObjID IN () )"
2019-08-02 04:48:00,1
2019-08-07 10:09:00,1
