32,"SELECT TOP # p.run, p.rerun, p.camCol, p.field, p.obj FROM BESTDR9..PhotoObj AS p JOIN dbo.fGetNearbyObjEq (#, #, #) AS b ON b.objID = P.objID WHERE (p.type = # OR p.type = #)"
2019-04-01 11:29:00,1
2019-04-24 21:12:00,1
2019-04-24 21:14:00,4
2019-04-24 21:15:00,1
2019-04-24 21:35:00,1
2019-04-24 21:37:00,1
2019-04-24 21:39:00,1
2019-05-08 09:04:00,1
2019-05-10 16:35:00,1
2019-05-13 17:58:00,1
2019-05-28 13:03:00,2
2019-06-07 13:53:00,2
2019-06-09 19:31:00,1
2019-07-08 07:55:00,1
2019-08-26 01:49:00,2
2019-09-16 06:22:00,1
2019-09-16 06:23:00,2
2019-09-17 03:30:00,1
2019-09-17 20:42:00,1
2019-09-17 20:43:00,1
2019-09-17 20:44:00,1
2019-09-17 21:06:00,1
2019-11-14 03:49:00,1
2019-12-14 17:14:00,1
2019-12-14 17:15:00,1
