12107,"select top # haloid , lastprogenitorid, mainleafid, m_crit2#, d.np from MR d where snapnum = # -- reshift = # and firsthaloinfofgroupid = d.haloid -- centers of FOF groups and m_crit2# between # and # order by newid () -- random sub sample) select d.haloid as d_id, d.m_crit2# as d_mass, d.np as d_np , p.haloId, p.x, p.y, p.z, p.snapnum, p.mainLeafId, p.halfMassRadius from descendants d inner join MR p on p.haloid between d.haloid and d.lastprogenitorid order by d.haloid, p.haloid"
2019-05-07 07:46:00,10
2019-05-07 07:47:00,10
2019-05-07 07:48:00,10
2019-05-07 07:49:00,10
2019-05-07 07:50:00,10
2019-05-07 07:51:00,10
2019-05-07 07:52:00,9
2019-05-07 07:53:00,9
2019-05-07 07:54:00,9
2019-05-07 07:55:00,7
2019-05-07 07:56:00,10
2019-05-07 07:57:00,11
2019-05-07 07:58:00,8
2019-05-07 07:59:00,9
2019-05-07 08:00:00,9
2019-05-07 08:01:00,10
2019-05-07 08:02:00,9
2019-05-07 08:03:00,9
2019-05-07 08:04:00,10
2019-05-07 08:05:00,8
2019-05-07 08:06:00,10
2019-05-07 08:07:00,9
2019-05-07 08:08:00,10
2019-05-07 08:09:00,9
2019-05-07 08:10:00,9
2019-05-07 08:11:00,10
2019-05-07 08:12:00,10
2019-05-07 08:13:00,10
2019-05-07 08:14:00,9
2019-05-07 08:15:00,9
2019-05-07 08:16:00,10
2019-05-07 08:17:00,9
2019-05-07 08:18:00,10
2019-05-07 08:19:00,11
2019-05-07 08:20:00,8
2019-05-07 08:21:00,10
2019-05-07 08:22:00,11
2019-05-07 08:23:00,9
2019-05-07 08:24:00,9
2019-05-07 08:25:00,10
2019-05-07 08:26:00,10
2019-05-07 08:27:00,9
2019-05-07 08:28:00,10
2019-05-07 08:29:00,9
2019-05-07 08:30:00,9
2019-05-07 08:31:00,10
2019-05-07 08:32:00,8
2019-05-07 08:33:00,9
2019-05-07 08:34:00,9
2019-05-07 08:35:00,10
2019-05-07 08:36:00,9
2019-05-07 08:37:00,10
2019-05-07 08:38:00,10
2019-05-07 08:39:00,10
2019-05-07 08:40:00,7
2019-05-07 08:41:00,10
2019-05-07 08:42:00,8
2019-05-07 08:43:00,10
2019-05-07 08:44:00,9
2019-05-07 08:45:00,9
2019-05-07 08:46:00,10
2019-05-07 08:47:00,9
2019-05-07 08:48:00,10
2019-05-07 08:49:00,9
2019-05-07 08:50:00,9
2019-05-07 08:51:00,4
2019-05-07 11:01:00,1
2019-05-07 11:03:00,1
2019-05-07 12:00:00,161
2019-05-07 12:01:00,174
2019-05-07 12:02:00,166
2019-05-07 12:03:00,180
2019-05-07 12:04:00,179
2019-05-07 12:05:00,180
2019-05-07 12:06:00,176
2019-05-07 12:07:00,170
2019-05-07 12:08:00,181
2019-05-07 12:09:00,165
2019-05-07 12:10:00,172
2019-05-07 12:11:00,178
2019-05-07 12:12:00,170
2019-05-07 12:13:00,174
2019-05-07 12:14:00,179
2019-05-07 12:15:00,181
2019-05-07 12:16:00,169
2019-05-07 12:17:00,177
2019-05-07 12:18:00,160
2019-05-07 12:19:00,170
2019-05-07 12:20:00,172
2019-05-07 12:21:00,169
2019-05-07 12:22:00,166
2019-05-07 12:23:00,171
2019-05-07 12:24:00,176
2019-05-07 12:25:00,175
2019-05-07 12:26:00,182
2019-05-07 12:27:00,179
2019-05-07 12:28:00,173
2019-05-07 12:29:00,184
2019-05-07 12:30:00,168
2019-05-07 12:31:00,177
2019-05-07 12:32:00,172
2019-05-07 12:33:00,173
2019-05-07 12:34:00,172
2019-05-07 12:35:00,162
2019-05-07 12:36:00,175
2019-05-07 12:37:00,175
2019-05-07 12:38:00,169
2019-05-07 12:39:00,169
2019-05-07 12:40:00,168
2019-05-07 12:41:00,169
2019-05-07 12:42:00,167
2019-05-07 12:43:00,141
2019-05-07 12:44:00,161
2019-05-07 12:45:00,153
2019-05-07 12:46:00,164
2019-05-07 12:47:00,177
2019-05-07 12:48:00,172
2019-05-07 12:49:00,165
2019-05-07 12:50:00,178
2019-05-07 12:51:00,167
2019-05-07 12:52:00,167
2019-05-07 12:53:00,175
2019-05-07 12:54:00,172
2019-05-07 12:55:00,176
2019-05-07 12:56:00,170
2019-05-07 12:57:00,152
2019-05-07 12:58:00,32
2019-11-08 09:58:00,1
2019-11-08 10:00:00,1
