3,"SELECT p.u, p.g, p.r, p.i, p.z FROM #UPLOAD as U OUTER APPLY dbo.fGetNearestObjEq ((U.up_ra) , (U.up_dec) , #) as N LEFT JOIN Galaxy AS p ON N.objid = p.objid"
2019-11-25 19:56:00,1
2019-12-18 10:22:00,1
2019-12-18 10:25:00,1
