4,"SELECT TOP # p.run, p.rerun, p.camCol, p.field, p.obj, str (p.ra, #, #) as ra, str (p.[dec], #, #) as dec, p.r FROM BESTDR9..PhotoObj AS p JOIN dbo.fGetNearbyObjEq (#, #, #) AS b ON b.objID = P.objID WHERE (p.type = # OR p.type = #)"
2019-03-25 13:22:00,1
2019-09-17 20:43:00,1
2019-11-14 03:50:00,2
