23,"select db_name () , @@servername"
2019-09-05 15:01:00,1
2019-10-22 17:38:00,1
2019-10-22 17:43:00,1
2019-11-27 15:43:00,1
2019-12-05 20:33:00,1
2019-12-05 20:47:00,1
2019-12-06 22:29:00,1
2019-12-06 22:33:00,2
2019-12-06 22:35:00,1
2019-12-06 22:42:00,1
2019-12-06 22:43:00,1
2019-12-06 22:44:00,1
2019-12-06 22:48:00,1
2019-12-09 01:48:00,1
2019-12-09 02:11:00,1
2019-12-09 02:16:00,1
2019-12-09 03:41:00,1
2019-12-09 15:36:00,1
2019-12-09 15:40:00,2
2019-12-09 15:45:00,1
2019-12-09 18:01:00,1
