31,"SELECT TOP # specObjID, z FROM SpecObj WHERE class = # AND zWarning = # AND z BETWEEN # AND #"
2019-03-18 10:41:00,1
2019-03-18 10:43:00,1
2019-03-18 11:46:00,2
2019-03-18 11:47:00,2
2019-03-18 11:50:00,2
2019-03-18 11:52:00,1
2019-03-18 11:53:00,1
2019-03-18 11:56:00,1
2019-03-18 12:00:00,1
2019-03-18 12:01:00,1
2019-03-21 18:10:00,1
2019-03-21 18:11:00,1
2019-03-21 18:12:00,3
2019-03-21 18:13:00,1
2019-03-21 18:14:00,1
2019-03-25 18:39:00,2
2019-03-25 18:40:00,2
2019-03-26 07:00:00,1
2019-03-30 11:31:00,1
2019-03-30 11:32:00,2
2019-03-30 11:33:00,1
2019-03-30 11:42:00,1
2019-03-30 11:46:00,1
