328,SELECT *
2019-01-05 22:47:00,1
2019-01-06 05:08:00,1
2019-01-06 05:18:00,1
2019-01-06 05:19:00,1
2019-01-06 15:03:00,1
2019-01-08 10:49:00,2
2019-01-16 09:05:00,1
2019-01-16 09:18:00,1
2019-01-16 09:19:00,1
2019-01-17 19:56:00,1
2019-01-20 19:48:00,1
2019-01-21 00:33:00,1
2019-01-23 13:01:00,2
2019-01-23 15:36:00,1
2019-02-01 18:40:00,1
2019-02-01 18:41:00,1
2019-02-02 18:49:00,1
2019-02-04 05:16:00,1
2019-02-04 06:40:00,1
2019-02-04 06:41:00,1
2019-02-04 06:42:00,1
2019-02-04 06:46:00,1
2019-02-04 06:47:00,1
2019-02-04 06:48:00,1
2019-02-07 11:11:00,3
2019-02-07 11:15:00,1
2019-02-07 11:19:00,1
2019-02-12 03:20:00,2
2019-02-12 03:24:00,1
2019-02-12 11:18:00,1
2019-02-14 11:03:00,1
2019-02-18 13:28:00,1
2019-02-18 15:49:00,1
2019-02-22 09:53:00,2
2019-02-25 12:43:00,2
2019-02-25 12:44:00,1
2019-02-26 04:50:00,1
2019-02-26 04:54:00,1
2019-03-04 12:39:00,1
2019-03-04 12:46:00,1
2019-03-04 12:48:00,1
2019-03-06 14:19:00,1
2019-03-11 16:12:00,1
2019-03-13 08:05:00,2
2019-03-15 14:13:00,1
2019-03-15 14:14:00,1
2019-03-15 14:16:00,1
2019-03-15 14:28:00,1
2019-03-15 14:36:00,1
2019-03-15 14:38:00,1
2019-03-15 14:40:00,1
2019-03-19 11:46:00,1
2019-03-19 11:48:00,1
2019-03-19 11:50:00,1
2019-03-19 11:51:00,1
2019-03-19 12:18:00,1
2019-03-20 17:45:00,1
2019-03-20 20:50:00,1
2019-03-20 20:51:00,1
2019-03-21 13:43:00,1
2019-03-21 20:15:00,1
2019-03-25 14:46:00,1
2019-03-25 14:52:00,2
2019-03-25 14:53:00,1
2019-03-25 20:28:00,1
2019-03-25 20:29:00,1
2019-03-27 21:24:00,1
2019-03-30 13:12:00,1
2019-03-30 13:14:00,1
2019-03-31 11:43:00,1
2019-03-31 11:46:00,1
2019-03-31 14:11:00,1
2019-03-31 14:12:00,1
2019-03-31 14:13:00,3
2019-03-31 14:14:00,1
2019-03-31 15:11:00,1
2019-04-01 15:25:00,1
2019-04-01 15:26:00,1
2019-04-01 15:28:00,1
