105,"SELECT TOP # ra, dec, type FROM PhotoObjAll WHERE type = # AND ra BETWEEN # AND #"
2019-01-21 14:51:00,6
2019-01-21 14:52:00,17
2019-01-21 14:54:00,16
2019-01-21 14:55:00,24
2019-01-21 15:15:00,6
2019-01-21 15:16:00,15
2019-01-21 15:17:00,13
2019-01-21 15:18:00,8
