31,select objid from photoprimary where photoprimary.dec between -.# and .# and photoprimary.ra between .# and #
2019-03-03 17:12:00,1
2019-03-03 17:15:00,1
2019-03-03 18:01:00,1
2019-03-03 18:02:00,1
2019-03-03 18:09:00,1
2019-03-03 18:10:00,1
2019-03-03 18:11:00,3
2019-03-03 18:12:00,2
2019-03-03 18:13:00,2
2019-03-03 18:14:00,2
2019-03-03 18:15:00,1
2019-03-03 18:17:00,2
2019-03-03 18:20:00,2
2019-03-03 18:21:00,1
2019-03-03 18:22:00,1
2019-03-03 18:23:00,2
2019-03-03 18:24:00,1
2019-03-03 18:25:00,1
2019-03-03 18:26:00,2
2019-03-03 18:27:00,1
2019-03-03 18:28:00,1
2019-03-03 18:29:00,1
