102,"SELECT s.specobjid, s.ra, s.dec, s.plate, s.mjd, s.fiberid FROM #upload u JOIN SpecObjAll s ON (s.plate = u.up_plate AND s.mjd = u.up_mjd AND s.fiberID = u.up_fiber)"
2019-01-09 14:36:00,1
2019-01-09 14:38:00,1
2019-01-09 14:39:00,1
2019-01-09 14:40:00,1
2019-01-24 01:27:00,1
2019-02-10 02:10:00,1
2019-02-10 03:09:00,1
2019-02-10 03:14:00,1
2019-02-10 03:21:00,1
2019-02-10 03:22:00,2
2019-02-10 03:24:00,1
2019-02-10 03:27:00,1
2019-02-10 03:28:00,1
2019-02-10 03:30:00,1
2019-02-10 10:27:00,1
2019-02-10 10:37:00,1
2019-02-10 10:58:00,1
2019-02-10 10:59:00,1
2019-02-10 11:16:00,2
2019-02-10 11:17:00,1
2019-02-10 12:04:00,1
2019-02-10 12:55:00,1
2019-02-10 12:57:00,1
2019-02-10 13:06:00,1
2019-02-11 12:20:00,1
2019-02-11 12:25:00,1
2019-02-13 02:50:00,1
2019-02-13 02:52:00,1
2019-02-13 04:01:00,1
2019-02-13 04:58:00,1
2019-02-13 04:59:00,1
2019-02-13 05:18:00,1
2019-02-21 14:37:00,1
2019-02-21 14:40:00,1
2019-02-21 14:41:00,1
2019-02-21 15:26:00,1
2019-03-07 09:48:00,1
2019-03-07 10:52:00,1
2019-03-07 11:32:00,1
2019-03-07 11:41:00,1
2019-03-07 11:43:00,2
2019-03-07 12:07:00,1
2019-03-10 06:26:00,1
2019-03-11 02:41:00,1
2019-03-11 08:35:00,1
2019-03-11 08:36:00,2
2019-03-27 06:42:00,1
2019-03-27 06:44:00,1
2019-03-27 06:45:00,1
2019-03-27 06:46:00,2
2019-03-27 06:48:00,1
2019-03-27 06:49:00,1
2019-04-08 14:06:00,1
2019-04-08 14:59:00,1
2019-04-30 11:06:00,1
2019-05-17 09:45:00,1
2019-07-13 18:15:00,1
2019-07-13 18:19:00,1
2019-07-13 18:53:00,2
2019-07-14 21:26:00,1
2019-07-15 15:00:00,1
2019-08-06 08:21:00,1
2019-09-01 07:10:00,1
2019-09-01 07:15:00,2
2019-09-01 07:16:00,2
2019-10-11 12:56:00,1
2019-10-14 01:34:00,1
2019-10-14 01:41:00,1
2019-10-14 01:45:00,1
2019-10-14 02:03:00,1
2019-10-14 02:07:00,2
2019-11-10 07:34:00,2
2019-11-10 07:36:00,1
2019-12-03 21:05:00,1
2019-12-07 14:45:00,1
2019-12-07 15:07:00,1
2019-12-18 20:41:00,1
2019-12-18 22:09:00,1
2019-12-18 22:23:00,1
2019-12-18 22:24:00,1
2019-12-18 22:25:00,1
2019-12-18 22:26:00,2
2019-12-18 22:27:00,1
2019-12-18 22:28:00,1
2019-12-18 22:29:00,1
2019-12-19 04:39:00,1
2019-12-19 04:41:00,1
2019-12-19 04:42:00,1
2019-12-19 04:45:00,1
2019-12-19 05:35:00,1
2019-12-19 05:47:00,1
