440,"SELECT near.objID, p.ra, p.dec, p.field, p.run, p.rerun, p.camcol FROM dbo.fGetNearestObjEq (#, #, #) AS near INNER JOIN PhotoPrimary AS p ON p.objID = near.objID"
2019-04-01 01:59:00,1
2019-04-01 02:12:00,2
2019-04-01 02:13:00,2
2019-04-01 02:14:00,1
2019-04-01 13:59:00,1
2019-04-01 14:00:00,1
2019-04-01 14:03:00,1
2019-04-01 14:05:00,1
2019-04-01 14:07:00,1
2019-04-01 14:09:00,1
2019-04-01 14:14:00,1
2019-04-01 14:18:00,1
2019-04-01 14:22:00,2
2019-04-01 14:23:00,1
2019-04-01 14:28:00,1
2019-04-01 14:29:00,1
2019-04-08 21:55:00,5
2019-04-08 21:56:00,7
2019-04-08 21:57:00,6
2019-04-08 21:58:00,7
2019-04-08 21:59:00,1
2019-04-08 22:06:00,1
2019-04-08 22:07:00,7
2019-04-08 22:08:00,4
2019-04-08 22:09:00,7
2019-04-08 22:10:00,6
2019-04-08 22:11:00,7
2019-04-08 22:12:00,5
2019-04-08 22:51:00,1
2019-04-08 22:53:00,6
2019-04-08 22:54:00,7
2019-04-08 22:55:00,6
2019-04-08 22:56:00,7
2019-04-08 23:07:00,3
2019-04-08 23:08:00,7
2019-04-08 23:09:00,6
2019-04-08 23:10:00,6
2019-04-08 23:11:00,7
2019-04-08 23:12:00,6
2019-04-08 23:13:00,7
2019-04-08 23:14:00,5
2019-04-08 23:15:00,6
2019-04-08 23:16:00,6
2019-04-08 23:17:00,6
2019-04-08 23:18:00,7
2019-04-08 23:19:00,6
2019-04-08 23:20:00,7
2019-04-08 23:21:00,6
2019-04-08 23:22:00,5
2019-04-08 23:23:00,6
2019-04-08 23:24:00,6
2019-04-08 23:25:00,10
2019-04-08 23:26:00,5
2019-04-08 23:27:00,11
2019-04-08 23:28:00,9
2019-04-08 23:29:00,16
2019-04-08 23:30:00,12
2019-04-08 23:31:00,5
2019-04-08 23:32:00,5
2019-04-08 23:33:00,13
2019-04-08 23:34:00,8
2019-04-08 23:35:00,6
2019-04-08 23:36:00,6
2019-04-08 23:37:00,7
2019-04-08 23:38:00,5
2019-04-08 23:39:00,7
2019-04-08 23:40:00,7
2019-04-08 23:41:00,9
2019-04-08 23:42:00,6
2019-04-08 23:43:00,5
2019-04-08 23:44:00,5
2019-04-08 23:45:00,7
2019-04-08 23:46:00,12
2019-04-08 23:47:00,6
2019-04-08 23:48:00,6
2019-04-08 23:49:00,9
2019-04-08 23:50:00,3
2019-04-09 16:48:00,1
2019-06-04 22:53:00,6
2019-06-04 22:54:00,5
2019-06-04 23:02:00,9
2019-06-04 23:03:00,2
