2,"SELECT p.objID, p.ra, p.dec, p.psfMag_u, p.psfMag_g, p.psfMag_r, p.psfMag_i, p.psfMag_z, z.z, z.zErr, z.chiSq into mydb.MyTable2# from PhotoPrimary AS p LEFT OUTER JOIN photoz AS z ON p.objID = z.objID WHERE ( (p.dered_g < #) OR (p.dered_r < #) OR (p.dered_i < #) ) and (p.type = #) and (p.psffwhm_r< #) and (p.psfMag_r> #) and (p.psfMag_r< =#)"
2019-03-14 19:23:00,1
2019-03-14 19:29:00,1
