543,"select top # p.ra, p.dec, p.deVRad_r, q.z from galaxy p, dbo.fgetNearByObjEq (#, #, #) n, galSpecInfo q where p.objid = n.objid and p.specObjID = q.specObjID and p.specObjID< ># and q.z> #"
2019-02-27 15:24:00,1
2019-02-27 15:25:00,1
2019-02-27 15:27:00,1
2019-02-27 15:30:00,2
2019-02-27 20:29:00,1
2019-02-27 20:31:00,2
2019-02-27 20:41:00,3
2019-02-27 20:44:00,1
2019-02-27 20:46:00,1
2019-02-27 20:47:00,2
2019-02-27 20:48:00,1
2019-02-27 20:49:00,1
2019-02-27 20:51:00,2
2019-02-27 20:52:00,1
2019-02-27 20:53:00,2
2019-02-27 20:54:00,1
2019-02-27 20:55:00,1
2019-02-27 20:56:00,4
2019-02-27 20:57:00,2
2019-02-27 20:58:00,1
2019-02-27 20:59:00,4
2019-02-27 21:51:00,1
2019-02-27 21:53:00,1
2019-02-28 12:32:00,4
2019-02-28 12:38:00,2
2019-02-28 12:39:00,3
2019-02-28 19:07:00,1
2019-03-01 19:26:00,1
2019-03-01 19:31:00,1
2019-03-01 19:32:00,1
2019-03-01 19:33:00,1
2019-03-01 19:34:00,1
2019-03-01 21:26:00,1
2019-03-01 21:27:00,1
2019-03-01 21:43:00,1
2019-03-01 22:10:00,1
2019-03-02 11:30:00,1
2019-03-02 18:13:00,1
2019-03-02 22:55:00,1
2019-03-02 23:14:00,1
2019-03-03 01:03:00,2
2019-03-03 01:05:00,1
2019-03-03 09:28:00,1
2019-03-03 20:40:00,1
2019-03-03 20:42:00,2
2019-03-03 20:43:00,1
2019-03-03 20:44:00,1
2019-03-03 23:19:00,1
2019-03-03 23:20:00,1
2019-03-03 23:22:00,1
2019-03-04 08:00:00,1
2019-03-04 08:02:00,1
2019-03-04 08:09:00,1
2019-03-04 08:12:00,1
2019-03-04 08:22:00,1
2019-03-04 08:23:00,1
2019-03-04 08:26:00,1
2019-03-04 16:24:00,2
2019-03-04 16:25:00,2
2019-03-04 16:26:00,2
2019-03-04 16:28:00,1
2019-03-04 16:29:00,1
2019-03-05 19:25:00,1
2019-03-05 19:27:00,4
2019-03-05 19:33:00,1
2019-03-05 19:35:00,1
2019-03-10 20:06:00,1
2019-03-10 20:07:00,1
2019-03-10 22:46:00,1
2019-03-10 22:49:00,1
2019-03-10 22:55:00,1
2019-03-10 22:59:00,1
2019-03-10 23:14:00,1
2019-03-11 00:00:00,1
2019-03-11 00:16:00,1
2019-03-11 10:35:00,1
2019-03-11 10:48:00,1
2019-03-11 10:53:00,1
2019-03-11 11:13:00,1
2019-03-11 11:14:00,1
2019-03-12 11:13:00,1
2019-03-12 11:53:00,1
2019-03-12 11:54:00,1
2019-03-12 11:55:00,1
2019-03-12 17:45:00,1
2019-03-12 17:46:00,1
2019-03-12 17:55:00,1
2019-03-12 18:12:00,1
2019-03-17 00:38:00,1
2019-03-17 01:45:00,2
2019-03-17 01:46:00,1
2019-03-17 01:47:00,1
2019-03-17 02:00:00,2
2019-03-17 02:10:00,1
2019-03-17 02:11:00,1
2019-03-17 02:12:00,1
2019-03-17 05:17:00,1
2019-03-17 05:18:00,2
2019-03-17 05:19:00,1
2019-03-17 05:20:00,1
2019-03-17 05:21:00,2
2019-03-17 05:22:00,1
2019-03-17 05:23:00,1
2019-03-17 05:25:00,1
2019-03-17 05:28:00,1
2019-03-17 05:29:00,1
2019-03-17 05:32:00,1
2019-03-17 05:33:00,1
2019-03-17 06:46:00,1
2019-03-17 07:19:00,1
2019-03-17 07:21:00,1
2019-03-17 07:23:00,2
2019-03-17 07:24:00,1
2019-03-17 07:31:00,1
2019-03-17 20:28:00,1
2019-03-17 20:33:00,1
2019-03-17 20:55:00,2
2019-03-17 22:26:00,1
2019-03-18 23:39:00,1
2019-03-18 23:40:00,1
2019-03-20 15:56:00,2
2019-03-20 16:25:00,1
2019-03-20 16:26:00,1
2019-03-20 16:27:00,2
2019-03-20 16:28:00,1
2019-03-20 16:30:00,1
2019-03-20 16:33:00,2
2019-03-20 16:36:00,1
2019-03-20 16:37:00,2
2019-03-20 16:38:00,1
2019-03-20 16:39:00,1
2019-03-20 16:58:00,1
2019-03-20 17:01:00,1
2019-03-20 17:02:00,1
2019-03-20 17:05:00,1
2019-03-20 17:20:00,1
2019-03-20 17:21:00,1
2019-03-21 12:13:00,1
2019-03-24 04:39:00,1
2019-03-24 04:40:00,2
2019-03-24 04:41:00,1
2019-03-24 04:42:00,2
2019-03-24 04:51:00,1
2019-03-24 05:17:00,1
2019-03-26 16:38:00,1
2019-03-26 16:39:00,1
2019-03-26 16:40:00,1
2019-03-26 16:41:00,2
2019-03-26 16:42:00,2
2019-03-26 16:43:00,1
2019-03-26 16:44:00,2
2019-03-26 16:45:00,1
2019-03-26 16:46:00,1
2019-03-26 16:47:00,1
2019-03-26 16:48:00,2
2019-04-11 10:37:00,1
2019-04-11 10:58:00,1
2019-04-11 13:44:00,1
2019-04-11 13:45:00,1
2019-04-11 13:50:00,1
2019-04-11 13:52:00,1
2019-04-21 02:05:00,2
2019-04-22 00:56:00,1
2019-04-22 01:01:00,2
2019-04-22 01:02:00,1
2019-04-22 01:06:00,1
2019-04-22 01:42:00,3
2019-04-22 01:43:00,3
2019-04-24 17:20:00,1
2019-04-26 11:16:00,1
2019-04-26 11:18:00,1
2019-04-29 14:33:00,1
2019-04-29 14:42:00,1
2019-04-29 14:44:00,1
2019-04-29 14:45:00,1
2019-04-29 14:48:00,1
2019-04-29 14:50:00,1
2019-04-29 14:51:00,1
2019-05-14 22:21:00,1
2019-05-14 22:24:00,1
2019-05-14 22:26:00,1
2019-05-14 22:27:00,1
2019-05-14 22:28:00,1
2019-05-14 22:29:00,1
2019-05-19 19:07:00,1
2019-05-19 19:18:00,1
2019-06-28 16:43:00,1
2019-06-28 16:52:00,2
2019-06-29 19:49:00,1
2019-07-01 21:57:00,1
2019-07-01 21:58:00,4
2019-07-02 20:21:00,1
2019-07-02 20:24:00,1
2019-07-02 20:30:00,1
2019-07-02 20:31:00,1
2019-07-02 20:32:00,2
2019-07-02 20:34:00,3
2019-07-02 20:35:00,1
2019-07-02 20:36:00,2
2019-07-03 08:57:00,1
2019-07-03 09:00:00,2
2019-07-03 09:01:00,1
2019-07-03 09:02:00,2
2019-07-03 09:54:00,1
2019-07-03 11:44:00,1
2019-07-04 14:58:00,1
2019-07-06 09:51:00,1
2019-07-06 09:56:00,1
2019-07-06 10:00:00,1
2019-07-06 10:12:00,1
2019-07-09 11:36:00,1
2019-07-10 16:23:00,1
2019-07-10 16:25:00,1
2019-07-10 16:26:00,1
2019-07-12 07:40:00,2
2019-07-13 11:15:00,1
2019-07-13 11:20:00,1
2019-07-13 16:25:00,1
2019-07-14 21:38:00,1
2019-07-14 21:44:00,1
2019-07-14 21:56:00,1
2019-07-20 07:26:00,1
2019-07-22 00:39:00,1
2019-07-22 06:25:00,1
2019-07-22 06:31:00,1
2019-07-22 06:34:00,1
2019-07-22 06:35:00,1
2019-07-22 09:08:00,1
2019-07-22 09:16:00,1
2019-07-24 18:08:00,1
2019-07-25 01:08:00,1
2019-07-25 01:09:00,1
2019-07-25 01:11:00,2
2019-07-25 15:41:00,1
2019-07-25 16:36:00,1
2019-07-25 20:33:00,1
2019-07-25 20:37:00,1
2019-07-25 20:39:00,2
2019-07-25 20:48:00,1
2019-07-25 20:49:00,1
2019-08-26 21:39:00,3
2019-08-26 21:40:00,1
2019-08-27 13:24:00,1
2019-08-27 13:25:00,1
2019-08-27 13:26:00,1
2019-08-27 13:27:00,1
2019-08-27 13:28:00,1
2019-08-27 15:44:00,1
2019-08-27 15:45:00,2
2019-08-27 16:25:00,1
2019-08-27 16:26:00,1
2019-08-27 16:39:00,1
2019-09-01 05:35:00,1
2019-09-01 05:37:00,1
2019-09-01 05:45:00,1
2019-09-01 05:47:00,2
2019-09-01 05:48:00,1
2019-09-01 05:49:00,1
2019-09-01 05:53:00,1
2019-09-01 05:59:00,2
2019-09-01 06:00:00,1
2019-09-01 06:01:00,1
2019-09-01 06:02:00,4
2019-09-17 11:28:00,1
2019-09-19 03:22:00,1
2019-09-19 03:28:00,1
2019-09-20 15:49:00,1
2019-09-20 15:52:00,1
2019-09-20 15:55:00,1
2019-09-20 15:56:00,1
2019-09-20 15:57:00,1
2019-09-20 15:59:00,1
2019-09-20 16:00:00,2
2019-09-20 16:01:00,1
2019-09-24 22:44:00,1
2019-09-25 15:28:00,1
2019-09-25 21:20:00,1
2019-09-25 22:35:00,1
2019-09-25 22:36:00,2
2019-09-26 00:23:00,1
2019-09-26 00:24:00,1
2019-09-26 00:26:00,1
2019-09-26 00:31:00,2
2019-09-26 00:32:00,1
2019-09-26 00:37:00,1
2019-09-26 00:39:00,1
2019-09-26 17:05:00,1
2019-09-26 17:06:00,1
2019-09-26 17:07:00,1
2019-09-27 13:37:00,1
2019-09-27 13:38:00,1
2019-09-27 13:40:00,1
2019-09-28 10:52:00,1
2019-09-28 17:27:00,1
2019-09-28 17:30:00,1
2019-09-28 17:33:00,1
2019-09-28 23:34:00,1
2019-09-28 23:37:00,1
2019-09-28 23:38:00,1
2019-09-29 15:37:00,1
2019-09-29 20:43:00,2
2019-09-29 20:46:00,1
2019-09-29 20:47:00,1
2019-09-29 23:28:00,1
2019-09-29 23:29:00,2
2019-09-29 23:32:00,1
2019-09-30 14:04:00,1
2019-09-30 14:27:00,1
2019-09-30 14:32:00,1
2019-10-03 13:23:00,1
2019-10-03 14:22:00,1
2019-10-05 23:26:00,1
2019-10-06 15:35:00,1
2019-10-06 15:36:00,1
2019-10-06 15:39:00,1
2019-10-06 15:40:00,1
2019-10-06 15:41:00,1
2019-10-06 15:45:00,1
2019-10-07 06:31:00,1
2019-10-07 06:32:00,1
2019-10-08 07:23:00,1
2019-10-09 15:24:00,1
2019-10-09 19:06:00,1
2019-10-09 22:47:00,1
2019-10-10 16:50:00,1
2019-10-10 17:01:00,1
2019-10-10 17:07:00,1
2019-10-10 17:23:00,2
2019-10-10 17:24:00,2
2019-10-10 17:25:00,2
2019-10-10 17:26:00,1
2019-10-10 22:32:00,1
2019-10-10 22:35:00,1
2019-10-11 19:13:00,1
2019-10-11 19:14:00,2
2019-10-11 19:20:00,1
2019-10-11 19:21:00,3
2019-10-11 19:22:00,1
2019-10-11 19:23:00,1
2019-10-11 22:38:00,1
2019-10-12 18:58:00,1
2019-10-27 16:21:00,1
2019-11-04 13:15:00,2
2019-11-04 13:22:00,1
2019-11-04 13:26:00,1
2019-11-04 13:27:00,2
2019-11-04 13:28:00,1
2019-11-04 13:37:00,1
2019-11-05 18:38:00,1
2019-11-05 18:39:00,2
2019-11-05 18:41:00,1
2019-11-06 21:40:00,1
2019-11-06 21:41:00,1
2019-11-06 21:44:00,1
2019-11-18 01:14:00,1
2019-11-18 01:15:00,2
2019-11-18 01:16:00,1
2019-11-18 01:18:00,1
2019-11-18 01:19:00,1
2019-11-18 01:41:00,1
2019-11-18 01:56:00,1
2019-11-18 02:01:00,1
2019-12-28 00:53:00,1
2019-12-28 00:54:00,2
