3,"SELECT ra, dec, i, r, g FROM dbo.PhotoObj WHERE (ra = #, dec = #, i = #, r = # , g = #)"
2019-10-05 00:55:00,1
2019-10-05 00:56:00,1
2019-10-05 00:57:00,1
