1430,"SELECT objid, ra, dec, u, g, r, i, z, err_u, err_g, err_r, err_i, err_z FROM PhotoObj WHERE ra BETWEEN # AND # AND probPSF = #"
2019-08-01 19:43:00,1
2019-08-01 19:56:00,1
2019-08-01 19:57:00,1
2019-08-01 19:58:00,2
2019-08-01 19:59:00,2
2019-08-01 20:00:00,2
2019-08-01 20:01:00,2
2019-08-01 20:02:00,2
2019-08-01 20:03:00,2
2019-08-01 20:04:00,2
2019-08-01 20:05:00,2
2019-08-01 20:06:00,2
2019-08-01 20:07:00,2
2019-08-01 20:08:00,2
2019-08-01 20:09:00,1
2019-08-01 20:10:00,2
2019-08-01 20:11:00,2
2019-08-01 20:12:00,2
2019-08-01 20:13:00,2
2019-08-01 20:14:00,2
2019-08-01 20:15:00,2
2019-08-01 20:16:00,1
2019-08-01 20:17:00,2
2019-08-01 20:18:00,2
2019-08-01 20:19:00,2
2019-08-01 20:20:00,1
2019-08-01 20:21:00,2
2019-08-01 20:22:00,2
2019-08-01 20:23:00,2
2019-08-01 20:24:00,2
2019-08-01 20:25:00,2
2019-08-01 20:26:00,2
2019-08-01 20:27:00,2
2019-08-01 20:28:00,2
2019-08-01 20:29:00,2
2019-08-01 20:30:00,2
2019-08-01 20:31:00,2
2019-08-01 20:32:00,2
2019-08-01 20:33:00,1
2019-08-01 20:34:00,2
2019-08-01 20:35:00,2
2019-08-01 20:36:00,2
2019-08-01 20:37:00,1
2019-08-01 20:38:00,2
2019-08-01 20:39:00,2
2019-08-01 20:40:00,1
2019-08-01 20:41:00,2
2019-08-01 20:42:00,2
2019-08-01 20:43:00,1
2019-08-01 20:44:00,2
2019-08-01 20:45:00,1
2019-08-01 20:46:00,2
2019-08-01 20:47:00,2
2019-08-01 20:48:00,1
2019-08-01 20:49:00,1
2019-08-01 20:50:00,2
2019-08-01 20:51:00,1
2019-08-01 20:52:00,1
2019-08-01 20:53:00,2
2019-08-01 20:54:00,1
2019-08-01 20:55:00,1
2019-08-01 20:56:00,2
2019-08-01 20:57:00,1
2019-08-01 20:58:00,1
2019-08-01 20:59:00,2
2019-08-01 21:00:00,1
2019-08-01 21:01:00,2
2019-08-01 21:02:00,1
2019-08-01 21:03:00,1
2019-08-01 21:04:00,2
2019-08-01 21:05:00,1
2019-08-01 21:06:00,2
2019-08-01 21:07:00,1
2019-08-01 21:08:00,2
2019-08-01 21:09:00,1
2019-08-01 21:10:00,1
2019-08-01 21:11:00,2
2019-08-01 21:12:00,1
2019-08-01 21:13:00,2
2019-08-01 21:14:00,1
2019-08-01 21:15:00,2
2019-08-01 21:16:00,1
2019-08-01 21:17:00,1
2019-08-01 21:18:00,2
2019-08-01 21:19:00,1
2019-08-01 21:20:00,2
2019-08-01 21:21:00,2
2019-08-01 21:22:00,2
2019-08-01 21:23:00,2
2019-08-01 21:24:00,2
2019-08-01 21:25:00,2
