2,"SELECT n.objID, n.distance, n.ra, n.dec, n.r, n.type from Galaxy as G OUTER APPLY dbo.fGetNearbyObjEq (#, #, #) AS n Where G.objID = N.objID INTO MyDB.NearbyObjEq"
2019-02-02 13:46:00,1
2019-02-02 13:47:00,1
