2459,"SELECT ra, dec, type, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z, modelMagErr_u, modelMagErr_g, modelMagErr_r, modelMagErr_i, modelMagErr_z, psfMag_r, type_r, psfMagErr_r FROM PhotoPrimary WHERE (ra between # and #) and (dec between # and #)"
2019-01-03 15:37:00,1
2019-01-03 15:46:00,1
2019-01-03 15:53:00,1
2019-01-03 15:55:00,1
2019-01-03 16:00:00,1
2019-01-03 16:06:00,1
2019-01-03 16:10:00,1
2019-01-03 16:13:00,1
2019-01-03 18:11:00,1
2019-01-03 18:13:00,1
2019-01-03 18:16:00,1
2019-01-03 18:18:00,1
2019-01-03 18:21:00,1
2019-01-03 18:25:00,1
2019-01-03 20:49:00,1
2019-01-03 22:15:00,1
2019-01-03 22:20:00,1
2019-01-03 22:23:00,1
2019-01-04 01:20:00,1
2019-01-04 04:45:00,1
2019-01-04 15:38:00,1
2019-01-04 15:42:00,1
2019-01-04 17:30:00,1
2019-01-04 21:34:00,1
2019-01-04 21:38:00,1
2019-01-04 21:42:00,1
2019-01-04 21:45:00,1
2019-01-04 21:47:00,1
2019-01-04 22:52:00,1
2019-01-04 22:54:00,1
2019-01-05 01:19:00,1
2019-01-05 02:39:00,1
2019-01-05 02:43:00,1
2019-01-05 02:48:00,1
2019-01-05 04:58:00,1
2019-02-01 07:31:00,1
2019-02-09 16:17:00,1
2019-02-09 16:25:00,1
2019-02-09 16:41:00,1
2019-02-12 15:10:00,1
2019-02-20 18:47:00,1
2019-02-20 18:59:00,1
2019-02-20 19:15:00,1
2019-02-20 19:18:00,1
2019-02-20 19:28:00,1
2019-02-20 19:43:00,1
2019-02-20 19:51:00,1
2019-02-25 21:58:00,1
2019-02-25 22:05:00,1
2019-02-25 22:21:00,1
2019-02-25 22:29:00,1
2019-02-25 22:41:00,1
2019-02-25 22:44:00,1
2019-02-26 01:17:00,1
2019-02-26 01:22:00,1
2019-02-26 01:32:00,1
2019-02-26 01:36:00,1
2019-02-26 01:38:00,1
2019-02-26 01:42:00,1
2019-02-26 17:53:00,1
2019-03-01 16:27:00,1
2019-03-04 15:14:00,1
2019-03-05 16:45:00,1
2019-03-05 16:55:00,1
2019-03-05 17:02:00,1
2019-03-05 17:05:00,1
2019-03-05 17:11:00,1
2019-03-05 17:21:00,1
2019-03-05 17:28:00,1
2019-03-05 17:34:00,1
2019-03-14 16:57:00,1
2019-03-14 17:14:00,1
2019-03-14 17:18:00,1
2019-03-14 17:23:00,1
2019-03-14 17:36:00,1
2019-03-14 17:54:00,1
2019-03-14 18:00:00,1
2019-03-14 18:15:00,1
2019-03-14 18:22:00,1
2019-03-14 18:25:00,1
2019-03-15 15:41:00,1
2019-03-15 16:28:00,1
2019-03-15 16:37:00,1
2019-03-15 16:41:00,1
2019-03-16 08:09:00,1
2019-03-16 16:32:00,1
2019-03-16 16:41:00,1
2019-03-16 16:47:00,1
2019-03-16 16:56:00,1
2019-03-16 17:14:00,1
2019-03-17 14:13:00,1
2019-03-17 14:16:00,1
2019-03-17 14:37:00,1
2019-03-17 14:47:00,1
2019-03-17 15:04:00,1
2019-03-18 15:08:00,1
2019-03-18 15:17:00,1
2019-03-18 15:27:00,1
2019-03-18 15:30:00,1
2019-03-18 15:33:00,1
2019-03-18 15:40:00,1
2019-03-18 16:02:00,1
2019-03-18 16:06:00,1
2019-03-19 19:04:00,1
2019-03-25 16:04:00,1
2019-03-25 16:13:00,1
2019-03-25 16:27:00,1
2019-03-25 16:30:00,1
2019-03-25 16:39:00,1
2019-03-26 15:59:00,1
2019-03-26 16:01:00,1
2019-03-26 16:05:00,1
2019-03-26 16:13:00,1
2019-03-26 16:26:00,1
2019-03-26 16:29:00,1
2019-03-27 15:03:00,1
2019-03-27 15:24:00,1
2019-03-27 15:36:00,1
2019-03-30 15:31:00,1
2019-03-30 15:33:00,1
2019-03-30 15:44:00,1
2019-03-30 16:00:00,1
2019-03-30 16:06:00,1
2019-03-31 15:58:00,1
2019-03-31 16:05:00,1
2019-03-31 16:12:00,1
2019-03-31 16:17:00,1
2019-03-31 16:24:00,1
2019-03-31 16:37:00,1
2019-04-01 15:20:00,1
2019-04-02 16:28:00,1
2019-04-02 16:39:00,1
2019-04-02 16:43:00,1
2019-04-02 16:56:00,1
2019-04-02 17:11:00,1
2019-04-04 14:26:00,1
2019-04-07 14:47:00,1
2019-04-07 16:12:00,1
2019-04-08 15:24:00,1
2019-04-08 15:40:00,1
2019-04-08 15:45:00,1
2019-04-08 17:20:00,1
2019-04-08 17:28:00,1
2019-04-08 17:42:00,1
2019-04-09 15:30:00,1
2019-04-09 15:33:00,1
2019-04-09 15:43:00,1
2019-04-09 15:51:00,1
2019-04-10 14:40:00,1
2019-04-11 14:55:00,1
2019-04-11 15:06:00,1
2019-04-11 15:16:00,1
2019-04-11 15:21:00,1
2019-04-11 15:28:00,1
2019-04-12 13:54:00,1
2019-04-12 13:58:00,1
2019-04-12 14:02:00,1
2019-04-12 14:04:00,1
2019-04-12 14:09:00,1
2019-04-12 14:19:00,1
2019-04-12 14:23:00,1
2019-04-13 14:08:00,1
