798,"SELECT top # p.objid, p.run, p.rerun, p.camcol, p.field, p.obj, p.type, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z FROM fGetNearbyObjEq (#, #, #) n, PhotoPrimary p WHERE n.objID = p.objID AND p.u BETWEEN # AND #"
2019-01-02 00:42:00,1
2019-01-02 20:00:00,1
2019-01-02 23:38:00,1
2019-01-03 20:26:00,1
2019-01-04 05:31:00,1
2019-01-04 08:35:00,1
2019-01-05 07:26:00,1
2019-01-05 23:04:00,1
2019-01-06 02:37:00,1
2019-01-06 12:31:00,1
2019-01-07 13:11:00,1
2019-01-07 14:06:00,1
2019-01-08 03:55:00,1
2019-01-08 18:03:00,1
2019-01-09 01:45:00,1
2019-01-09 05:06:00,1
2019-01-09 15:17:00,1
2019-01-10 13:33:00,1
2019-01-11 15:24:00,1
2019-01-11 16:02:00,1
2019-01-11 17:34:00,1
2019-01-12 09:19:00,1
2019-01-12 16:54:00,1
2019-01-13 07:46:00,1
2019-01-13 08:23:00,1
2019-01-14 02:26:00,1
2019-01-14 16:02:00,1
2019-01-14 17:35:00,1
2019-01-15 06:43:00,1
2019-01-15 08:03:00,1
2019-01-15 15:18:00,1
2019-01-16 08:47:00,1
2019-01-18 00:51:00,1
2019-01-19 17:49:00,1
2019-01-19 18:13:00,1
2019-01-20 16:14:00,1
2019-01-23 09:58:00,1
2019-01-23 22:15:00,1
2019-01-24 03:08:00,1
2019-01-24 03:12:00,1
2019-01-24 08:17:00,1
2019-01-24 12:58:00,1
2019-01-24 14:03:00,1
2019-01-24 17:03:00,1
2019-01-24 21:06:00,1
2019-01-26 08:51:00,1
2019-01-26 19:12:00,1
2019-01-26 21:57:00,1
2019-01-27 03:25:00,1
2019-01-27 23:35:00,1
2019-01-28 05:32:00,1
2019-01-28 06:38:00,1
2019-01-28 07:02:00,1
2019-01-28 13:21:00,1
2019-01-28 21:46:00,2
2019-01-30 12:16:00,1
2019-01-30 13:10:00,1
2019-01-30 22:37:00,1
2019-01-31 12:23:00,1
2019-01-31 12:32:00,1
2019-02-01 00:00:00,1
2019-02-01 02:25:00,1
2019-02-01 19:52:00,1
2019-02-02 02:52:00,1
2019-02-02 11:49:00,1
2019-02-02 23:45:00,1
2019-02-05 10:43:00,1
2019-02-06 00:22:00,1
2019-02-06 11:42:00,1
2019-02-06 15:59:00,1
2019-02-06 17:21:00,1
2019-02-06 19:27:00,1
2019-02-06 21:44:00,1
2019-02-06 21:59:00,1
2019-02-06 22:23:00,1
2019-02-06 23:42:00,1
2019-02-07 09:18:00,1
2019-02-07 10:38:00,1
2019-02-08 00:55:00,1
2019-02-09 02:57:00,1
2019-02-10 10:01:00,1
2019-02-11 02:39:00,1
2019-02-12 04:52:00,1
2019-02-12 09:16:00,1
2019-02-13 03:10:00,1
2019-02-14 03:25:00,1
2019-02-14 07:53:00,1
2019-02-14 23:06:00,1
2019-02-15 06:20:00,1
2019-02-15 16:50:00,1
2019-02-16 03:03:00,1
2019-02-16 10:12:00,1
2019-02-16 13:10:00,1
2019-02-17 16:51:00,1
2019-02-18 13:10:00,1
2019-02-18 14:27:00,1
2019-02-18 15:51:00,1
2019-02-19 11:11:00,1
2019-02-20 02:55:00,1
2019-02-20 04:30:00,1
2019-02-20 04:54:00,1
2019-02-20 07:23:00,1
2019-02-20 22:02:00,1
