15,"SELECT n.distance, st.petroMag_r, dbo.fPhotoTypeN (st.type) as type FROM Star AS st, fGetNearbyObjEq (#, #, #) AS n WHERE st.objID = n.objID"
2019-08-22 23:16:00,1
2019-08-22 23:18:00,14
