968,SELECT * FROM MyTable_#
2019-01-02 02:27:00,1
2019-01-02 02:30:00,1
2019-01-02 08:56:00,1
2019-01-03 06:45:00,1
2019-01-03 08:52:00,1
2019-01-04 09:53:00,1
2019-01-04 09:54:00,1
2019-01-05 11:36:00,1
2019-01-06 08:22:00,1
2019-01-06 08:23:00,1
2019-01-06 08:28:00,1
2019-01-06 09:37:00,2
2019-01-07 07:50:00,1
2019-01-08 04:51:00,1
2019-01-10 09:18:00,1
2019-01-10 09:21:00,1
2019-01-12 00:27:00,1
2019-01-12 18:35:00,1
2019-01-13 04:10:00,1
2019-01-13 04:30:00,1
2019-01-13 14:42:00,1
2019-01-14 00:47:00,1
2019-01-14 00:53:00,1
2019-01-14 09:37:00,1
2019-01-14 13:38:00,1
2019-01-15 06:26:00,1
2019-01-15 06:50:00,1
2019-01-15 08:42:00,1
2019-01-15 18:52:00,1
2019-01-16 17:48:00,1
2019-01-21 02:21:00,1
2019-01-23 02:30:00,1
2019-01-23 02:31:00,1
2019-01-23 17:46:00,1
2019-01-23 17:56:00,1
2019-01-24 00:06:00,1
2019-01-25 02:25:00,1
2019-01-25 03:26:00,1
2019-01-27 05:05:00,2
2019-01-28 16:45:00,1
2019-01-29 07:02:00,1
2019-01-29 07:07:00,2
2019-01-30 09:00:00,1
2019-01-30 09:01:00,1
2019-01-31 03:55:00,1
2019-02-01 04:16:00,2
2019-02-01 05:00:00,2
2019-02-04 11:15:00,1
2019-02-04 11:34:00,1
2019-02-04 12:34:00,1
2019-02-05 04:16:00,1
2019-02-05 05:53:00,1
2019-02-05 06:03:00,1
2019-02-05 09:30:00,1
2019-02-05 10:11:00,1
2019-02-05 10:33:00,1
2019-02-05 11:16:00,1
2019-02-05 12:48:00,1
2019-02-06 03:10:00,1
2019-02-06 12:28:00,1
2019-02-06 13:51:00,1
2019-02-06 17:49:00,1
2019-02-06 17:50:00,1
2019-02-07 12:17:00,1
2019-02-07 12:38:00,1
2019-02-08 07:35:00,1
2019-02-08 09:28:00,1
2019-02-08 09:32:00,1
2019-02-08 11:55:00,1
2019-02-08 12:11:00,1
2019-02-09 17:06:00,1
2019-02-09 17:07:00,1
2019-02-10 10:00:00,1
2019-02-10 10:09:00,1
2019-02-10 10:15:00,1
2019-02-11 11:19:00,1
2019-02-11 12:07:00,1
2019-02-11 17:28:00,1
2019-02-12 06:51:00,1
2019-02-13 05:45:00,1
2019-02-13 05:55:00,1
2019-02-13 09:27:00,1
2019-02-13 09:28:00,1
2019-02-13 15:36:00,1
2019-02-13 15:52:00,1
2019-02-17 04:26:00,1
2019-02-17 09:34:00,1
2019-02-17 09:35:00,1
2019-02-18 08:18:00,1
2019-02-18 09:56:00,1
2019-02-18 09:58:00,1
2019-02-18 10:14:00,1
2019-02-18 11:50:00,1
2019-02-18 11:51:00,1
2019-02-18 11:52:00,1
2019-02-19 04:27:00,1
2019-02-19 04:45:00,1
2019-02-19 07:18:00,1
2019-02-19 09:01:00,1
2019-02-19 09:11:00,1
2019-02-19 14:19:00,1
2019-02-19 14:20:00,1
2019-02-19 18:51:00,1
2019-02-20 01:48:00,1
2019-02-20 03:20:00,1
2019-02-20 06:25:00,1
2019-02-20 09:33:00,1
2019-02-21 09:23:00,2
2019-02-21 12:04:00,1
2019-02-21 12:06:00,1
2019-02-21 13:52:00,1
2019-02-22 08:53:00,1
2019-02-24 00:30:00,2
2019-02-24 00:49:00,1
2019-02-25 09:33:00,1
2019-02-26 09:20:00,1
2019-02-27 00:43:00,2
2019-02-27 07:55:00,1
2019-02-27 07:56:00,1
2019-02-27 14:39:00,1
2019-02-27 14:40:00,1
2019-02-27 14:41:00,1
2019-02-28 02:59:00,1
2019-02-28 05:12:00,1
2019-02-28 05:19:00,1
2019-03-01 13:02:00,1
2019-03-03 07:53:00,1
2019-03-03 07:55:00,1
2019-03-03 19:05:00,1
2019-03-04 01:55:00,1
2019-03-04 05:30:00,1
