16,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.specobjid, s.class, s.subclass, s.plate, s.mjd, s.fiberid FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE s.class = # AND s.subclass = #"
2019-05-11 11:04:00,1
2019-05-11 20:39:00,2
2019-05-11 20:42:00,2
2019-05-19 19:22:00,1
2019-05-19 19:30:00,1
2019-05-19 19:31:00,1
2019-05-19 19:34:00,1
2019-05-19 19:39:00,1
2019-05-20 21:09:00,1
2019-05-25 16:06:00,1
2019-06-09 20:23:00,1
2019-06-10 11:21:00,1
2019-06-12 16:23:00,1
2019-06-14 13:09:00,1
