136,"select top # objid, ra, dec, modelmag_g, z from specphoto"
2019-01-07 05:03:00,1
2019-01-09 23:17:00,1
2019-01-10 20:42:00,1
2019-01-11 03:49:00,1
2019-01-11 16:36:00,2
2019-01-11 19:57:00,1
2019-01-13 01:38:00,1
2019-01-13 01:40:00,1
2019-01-13 20:25:00,1
2019-01-13 21:02:00,1
2019-01-14 01:13:00,1
2019-01-14 06:45:00,1
2019-01-14 07:12:00,1
2019-01-14 15:54:00,1
2019-01-14 15:59:00,1
2019-01-14 16:08:00,1
2019-01-14 17:57:00,1
2019-01-14 19:41:00,1
2019-01-14 19:52:00,1
2019-01-15 15:55:00,1
2019-01-15 16:20:00,1
2019-01-15 19:37:00,1
2019-01-15 19:38:00,1
2019-01-15 19:39:00,1
2019-01-15 19:43:00,1
2019-01-15 19:46:00,1
2019-01-15 19:47:00,1
2019-01-15 20:10:00,1
2019-01-16 05:49:00,1
2019-01-16 05:51:00,1
2019-01-16 17:33:00,1
2019-01-17 16:13:00,1
2019-01-17 16:31:00,1
2019-01-17 16:34:00,1
2019-01-17 16:36:00,1
2019-01-17 16:56:00,2
2019-01-17 19:18:00,1
2019-01-17 19:47:00,1
2019-01-17 20:22:00,1
2019-01-17 23:28:00,2
2019-01-17 23:29:00,1
2019-01-18 15:56:00,1
2019-01-18 16:00:00,1
2019-01-18 19:47:00,1
2019-01-18 19:53:00,1
2019-01-18 19:56:00,1
2019-01-25 02:48:00,1
2019-02-01 16:43:00,1
2019-02-01 16:44:00,1
2019-03-11 22:49:00,1
2019-03-24 20:28:00,1
2019-04-08 10:01:00,1
2019-05-06 17:10:00,1
2019-05-15 01:05:00,1
2019-07-15 18:25:00,1
2019-07-15 18:31:00,1
2019-07-15 18:32:00,1
2019-08-18 07:21:00,1
2019-09-08 21:18:00,1
2019-09-08 21:19:00,1
2019-10-08 22:39:00,1
2019-10-16 03:47:00,1
2019-10-16 03:49:00,1
2019-10-23 14:10:00,3
2019-11-08 08:08:00,2
2019-11-12 23:10:00,2
2019-11-12 23:17:00,1
2019-12-04 20:39:00,2
2019-12-10 00:16:00,2
2019-12-10 02:57:00,2
2019-12-10 21:21:00,1
2019-12-11 00:17:00,2
2019-12-11 00:21:00,1
2019-12-12 03:00:00,1
2019-12-12 03:01:00,1
2019-12-12 04:41:00,1
2019-12-12 18:36:00,1
2019-12-12 22:12:00,1
2019-12-13 03:25:00,1
2019-12-13 18:43:00,1
2019-12-13 18:54:00,2
2019-12-13 18:55:00,1
2019-12-13 19:32:00,1
2019-12-13 19:36:00,1
2019-12-13 20:16:00,1
2019-12-13 20:17:00,1
2019-12-13 20:29:00,1
2019-12-13 20:40:00,1
2019-12-13 20:50:00,1
2019-12-13 22:04:00,1
2019-12-13 22:18:00,1
2019-12-13 22:20:00,1
2019-12-13 22:27:00,1
2019-12-14 00:20:00,1
2019-12-14 00:22:00,1
2019-12-14 00:23:00,1
2019-12-14 01:55:00,1
2019-12-14 05:18:00,1
2019-12-14 05:20:00,1
2019-12-14 05:24:00,1
2019-12-14 21:02:00,1
2019-12-15 04:48:00,1
2019-12-15 17:13:00,1
2019-12-15 17:55:00,1
2019-12-16 00:36:00,1
2019-12-16 02:01:00,2
2019-12-16 02:05:00,1
2019-12-16 04:16:00,1
2019-12-16 04:28:00,1
2019-12-16 06:05:00,1
2019-12-16 06:16:00,1
2019-12-16 06:22:00,1
2019-12-16 06:23:00,1
2019-12-16 06:24:00,2
2019-12-17 02:13:00,1
2019-12-17 03:57:00,1
2019-12-17 16:19:00,1
2019-12-17 21:36:00,1
2019-12-18 05:35:00,2
2019-12-19 06:15:00,1
2019-12-20 22:08:00,1
