3,"select c.search_id, c.ra2 as ra, c.dec2 as dec, j_m, j_cmsig, h_m, h_cmsig, k_m, k_cmsig, ph_qual into cc2psc from mydb.cc2ph as c join TwoMass as x on c.objid = x.objID"
2019-03-10 15:25:00,2
2019-03-10 15:26:00,1
