49,"SELECT TOP # cast (str (s.ra, #, #) as float) as ra, cast (str (s.[dec], #, #) as float) as dec FROM ..SpecObj as s JOIN dbo.fGetNearbySpecObjEq (#, #, #) AS b ON b.SpecobjID = S.SpecobjID WHERE s.zWarning = #"
2019-01-01 04:46:00,1
2019-01-24 06:53:00,1
2019-02-07 11:44:00,1
2019-03-12 16:21:00,1
2019-03-12 16:26:00,1
2019-04-09 16:42:00,3
2019-04-09 16:43:00,1
2019-04-17 15:54:00,1
2019-04-25 16:21:00,1
2019-04-25 16:22:00,1
2019-04-25 16:23:00,1
2019-05-04 08:29:00,1
2019-05-04 08:34:00,2
2019-05-23 18:21:00,1
2019-06-07 17:59:00,2
2019-06-07 18:00:00,1
2019-06-07 18:03:00,1
2019-06-18 11:59:00,1
2019-06-18 12:07:00,1
2019-06-18 12:08:00,2
2019-06-28 03:02:00,1
2019-07-01 21:38:00,1
2019-07-09 06:41:00,1
2019-10-06 21:21:00,1
2019-10-07 16:33:00,1
2019-10-14 15:48:00,2
2019-10-14 15:49:00,2
2019-10-19 16:10:00,2
2019-10-19 16:19:00,1
2019-10-19 17:06:00,1
2019-11-02 00:39:00,1
2019-11-11 05:53:00,1
2019-11-11 20:23:00,1
2019-11-13 12:46:00,1
2019-11-21 07:53:00,2
2019-12-05 04:37:00,1
2019-12-06 21:26:00,1
2019-12-06 21:27:00,1
2019-12-10 05:14:00,1
2019-12-10 05:15:00,1
