7,"SELECT s.ra, s.dec, s.psfmag_g-s.extinction_g as g, s.psfmag_i-s.extinction_i as i, pm.pmra, pm.pmdec, pm.pmraerr, pm.pmdecerr FROM star as s JOIN propermotions as pm ON s.objid = pm.objid WHERE s.ra BETWEEN # AND # and s.dec BETWEEN # and # AND CLEAN = # AND s.psfmag_r < #"
2019-02-19 04:05:00,1
2019-02-19 20:38:00,1
2019-02-19 20:39:00,1
2019-02-19 22:00:00,1
2019-02-19 22:07:00,1
2019-02-22 03:51:00,2
