16,"SELECT top # specobjid, flags, class, subclass, zWarning, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z FROM SpecPhoto WHERE zwarning = # AND class = # AND subclass like # AND subclass < > #"
2019-09-24 12:21:00,1
2019-09-24 12:22:00,1
2019-09-24 12:23:00,1
2019-09-24 12:24:00,1
2019-09-24 12:44:00,2
2019-09-24 15:00:00,1
2019-09-24 15:06:00,1
2019-09-25 07:45:00,2
2019-09-25 08:07:00,1
2019-09-25 08:09:00,1
2019-09-25 09:27:00,1
2019-09-25 12:18:00,1
2019-09-25 12:30:00,1
2019-09-25 12:32:00,1
