3,"SELECT objID, ra, dec, u, g, r, i, z, lnLStar_r, type_r into mydb.S3# from PhotoObjAll WHERE r < # and ra < # and ra > # and dec < # and dec > #"
2019-01-04 13:45:00,2
2019-01-04 13:46:00,1
