5,"select top # p.r, p.camcol, s.z as redshift from galaxy p, specobj s where p.objid = s.bestobjid and s.z BETWEEN # AND # and p.camcol = # and p.colc BETWEEN # AND # and p.r BETWEEN # AND #"
2019-09-26 21:11:00,1
2019-09-26 21:12:00,2
2019-09-26 21:13:00,1
2019-09-26 21:20:00,1
