423,"SELECT u.up_name as [name], p.objID, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field, dbo.fPhotoTypeN (p.type) as type, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z FROM #x x, #upload u, PhotoTag p WHERE u.up_id = x.up_id and x.objID = p.objID ORDER BY x.up_id"
2019-01-09 18:27:00,18
2019-01-09 18:28:00,59
2019-01-09 18:29:00,6
2019-02-12 00:16:00,84
2019-02-24 00:55:00,1
2019-02-24 01:09:00,1
2019-02-24 01:34:00,1
2019-02-24 02:05:00,2
2019-02-25 06:44:00,1
2019-02-25 17:24:00,1
2019-02-25 22:17:00,1
2019-02-26 20:15:00,2
2019-02-26 20:16:00,2
2019-02-26 20:55:00,1
2019-02-28 09:39:00,1
2019-02-28 21:36:00,1
2019-02-28 21:43:00,1
2019-02-28 22:49:00,1
2019-03-01 07:56:00,1
2019-03-02 17:08:00,1
2019-03-02 17:46:00,1
2019-03-03 01:06:00,1
2019-03-03 02:35:00,1
2019-03-03 03:08:00,2
2019-03-03 03:09:00,1
2019-03-03 03:15:00,2
2019-03-03 19:36:00,1
2019-03-03 20:21:00,1
2019-03-03 23:49:00,1
2019-03-04 01:21:00,1
2019-03-04 02:35:00,1
2019-03-04 02:36:00,1
2019-03-04 03:10:00,1
2019-03-04 03:25:00,1
2019-03-04 03:28:00,1
2019-03-04 06:28:00,2
2019-03-04 06:29:00,1
2019-03-04 06:32:00,1
2019-03-04 06:40:00,1
2019-03-04 06:41:00,1
2019-03-04 20:56:00,1
2019-03-06 06:33:00,1
2019-04-16 15:55:00,1
2019-04-16 16:17:00,1
2019-04-16 16:23:00,1
2019-04-21 11:52:00,59
2019-04-21 11:53:00,24
2019-04-22 03:05:00,1
2019-04-22 04:52:00,1
2019-04-22 04:53:00,1
2019-04-22 04:54:00,1
2019-04-22 04:58:00,1
2019-04-22 04:59:00,1
2019-04-22 05:00:00,1
2019-04-22 05:01:00,1
2019-04-22 05:02:00,1
2019-04-22 05:03:00,1
2019-04-22 05:06:00,1
2019-04-22 05:07:00,1
2019-04-22 05:09:00,1
2019-04-22 05:10:00,1
2019-04-22 05:11:00,1
2019-04-22 05:12:00,1
2019-04-22 05:14:00,1
2019-05-28 09:08:00,1
2019-05-28 09:11:00,1
2019-05-31 07:35:00,1
2019-06-23 00:54:00,1
2019-06-28 08:21:00,1
2019-07-12 07:26:00,1
2019-07-12 07:27:00,1
2019-07-12 07:38:00,2
2019-07-12 07:39:00,2
2019-07-12 07:46:00,1
2019-07-25 07:48:00,1
2019-08-14 05:47:00,2
2019-08-14 05:48:00,1
2019-08-16 04:07:00,1
2019-09-15 03:18:00,54
2019-09-15 03:19:00,30
2019-09-24 22:09:00,1
2019-10-17 19:06:00,1
2019-10-17 19:07:00,1
2019-10-20 23:21:00,1
2019-10-20 23:26:00,1
2019-10-20 23:28:00,1
2019-11-08 07:30:00,1
2019-11-19 08:09:00,1
