3,"SELECT TOP # ObjID, z , RA, DEC, psfmag_u, psfmag_g, psfmag_r, psfmag_i, psfmag_z FROM SpecPhoto WHERE class = # AND zWarning = # AND z< # AND psfmag_r< #"
2019-05-06 18:13:00,2
2019-05-06 18:14:00,1
