7358,"SELECT p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.run, p.rerun, p.camcol, p.field, s.specobjid, s.class, s.z as redshift, s.plate, s.mjd, s.fiberid, GN.distance FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid JOIN dbo.fGetNearbyObjEq (#, #, #) AS GN ON p.objID = GN.objID"
2019-10-18 03:00:00,83
2019-10-18 03:01:00,117
2019-10-18 03:02:00,107
2019-10-18 03:03:00,129
2019-10-18 03:04:00,117
2019-10-18 03:05:00,124
2019-10-18 03:06:00,112
2019-10-18 03:07:00,117
2019-10-18 03:08:00,132
2019-10-18 03:09:00,129
2019-10-18 03:10:00,133
2019-10-18 03:11:00,122
2019-10-18 03:12:00,122
2019-10-18 03:13:00,122
2019-10-18 03:14:00,135
2019-10-18 03:15:00,136
2019-10-18 03:16:00,126
2019-10-18 03:17:00,124
2019-10-18 03:18:00,122
2019-10-18 03:19:00,124
2019-10-18 03:20:00,119
2019-10-18 03:21:00,116
2019-10-18 03:22:00,121
2019-10-18 03:23:00,125
2019-10-18 03:24:00,111
2019-10-18 03:25:00,119
2019-10-18 03:26:00,114
2019-10-18 03:27:00,130
2019-10-18 03:28:00,138
2019-10-18 03:29:00,113
2019-10-18 03:30:00,128
2019-10-18 03:31:00,126
2019-10-18 03:32:00,118
2019-10-18 03:33:00,135
2019-10-18 03:34:00,133
2019-10-18 03:35:00,110
2019-10-18 03:36:00,121
2019-10-18 03:37:00,111
2019-10-18 03:38:00,125
2019-10-18 03:39:00,103
2019-10-18 03:40:00,115
2019-10-18 03:41:00,116
2019-10-18 03:42:00,122
2019-10-18 03:43:00,126
2019-10-18 03:44:00,123
2019-10-18 03:45:00,112
2019-10-18 03:46:00,118
2019-10-18 03:47:00,124
2019-10-18 03:48:00,127
2019-10-18 03:49:00,122
2019-10-18 03:50:00,122
2019-10-18 03:51:00,119
2019-10-18 03:52:00,112
2019-10-18 03:53:00,98
2019-10-18 03:54:00,112
2019-10-18 03:55:00,120
2019-10-18 03:56:00,128
2019-10-18 03:57:00,127
2019-10-18 03:58:00,126
2019-10-18 03:59:00,120
2019-10-18 04:00:00,120
