3,"select top # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z from star p where (p.i BETWEEN # AND #)"
2019-12-25 13:01:00,1
2019-12-25 13:21:00,1
2019-12-25 13:25:00,1
