1333,SELECT COUNT (*)
2019-01-19 12:11:00,1
2019-01-19 12:12:00,1
2019-01-19 12:59:00,1
2019-01-19 13:00:00,1
2019-01-19 13:04:00,1
2019-01-24 08:32:00,1
2019-01-26 04:21:00,1
2019-01-26 04:22:00,2
2019-01-26 04:32:00,1
2019-01-26 04:33:00,2
2019-01-26 04:34:00,1
2019-01-31 20:40:00,2
2019-01-31 20:42:00,1
2019-01-31 20:43:00,2
2019-01-31 20:52:00,1
2019-01-31 20:53:00,1
2019-01-31 20:55:00,1
2019-01-31 20:56:00,1
2019-01-31 20:57:00,1
2019-02-03 00:11:00,2
2019-02-03 00:12:00,1
2019-02-03 00:13:00,1
2019-02-04 03:52:00,1
2019-02-04 03:53:00,1
2019-02-07 11:13:00,1
2019-02-24 22:06:00,1
2019-02-24 22:12:00,1
2019-02-24 22:24:00,1
2019-02-24 22:28:00,1
2019-02-24 22:36:00,1
2019-02-24 22:43:00,1
2019-02-24 22:44:00,1
2019-02-24 22:45:00,1
2019-02-24 23:02:00,1
2019-02-24 23:05:00,1
2019-02-24 23:30:00,1
2019-02-24 23:47:00,1
2019-02-24 23:48:00,1
2019-02-24 23:49:00,2
2019-02-24 23:50:00,2
2019-02-24 23:51:00,2
2019-02-24 23:52:00,1
2019-02-24 23:53:00,2
2019-02-24 23:54:00,2
2019-02-24 23:55:00,1
2019-02-24 23:56:00,1
2019-02-24 23:57:00,1
2019-02-25 21:58:00,1
2019-02-25 21:59:00,2
2019-02-25 22:01:00,1
2019-02-25 22:02:00,2
2019-02-25 22:09:00,2
2019-02-25 22:10:00,1
2019-02-25 22:11:00,2
2019-02-25 22:12:00,2
2019-02-25 22:13:00,3
2019-02-25 22:14:00,2
2019-02-25 22:15:00,2
2019-02-25 22:28:00,3
2019-02-25 22:30:00,2
2019-02-25 22:31:00,2
2019-02-25 22:32:00,2
2019-02-26 14:30:00,2
2019-02-26 14:32:00,1
2019-02-26 14:33:00,1
2019-02-26 14:34:00,1
2019-02-26 14:38:00,2
2019-02-26 14:39:00,1
2019-02-26 14:40:00,2
2019-02-26 14:41:00,1
2019-02-26 14:48:00,2
2019-02-26 14:49:00,2
