14,"SELECT TOP # p.objid, p.ra, p.dec, s.specobjid, s.class, s.subclass, s.z as redshift, s.plate, s.mjd, s.fiberid, s.snMedian, s.zWarning FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE s.snMedian > # AND s.class = # AND s.subclass LIKE # AND s.zWarning = #"
2019-03-02 08:45:00,1
2019-03-02 08:51:00,1
2019-03-02 08:52:00,1
2019-03-02 08:56:00,1
2019-03-02 09:13:00,1
2019-03-02 09:15:00,1
2019-03-02 09:16:00,1
2019-03-02 09:19:00,1
2019-03-02 09:20:00,2
2019-03-02 09:23:00,1
2019-03-02 09:39:00,1
2019-03-02 09:40:00,1
2019-03-02 09:41:00,1
