62,"select count (*) FROM SpecObjAll as s, SpecPhotoAll as ph, sppParams as spp where s.SPECOBJID = spp.SPECOBJID and spp.SPECOBJID = ph.specObjID and s.class = # and s.subclass like # and spp.snr> =# and spp.snr< =#"
2019-01-01 12:35:00,1
2019-01-01 12:58:00,1
2019-01-01 12:59:00,2
2019-01-01 14:12:00,1
2019-01-01 14:28:00,3
2019-01-02 00:39:00,1
2019-01-15 14:59:00,1
2019-01-15 15:01:00,1
2019-01-16 00:21:00,1
2019-01-16 00:30:00,1
2019-01-16 00:31:00,3
2019-01-16 00:32:00,3
2019-01-16 00:36:00,1
2019-01-16 00:37:00,4
2019-01-16 00:38:00,2
2019-01-16 00:39:00,1
2019-01-16 00:40:00,6
2019-01-16 00:41:00,4
2019-01-16 00:42:00,3
2019-01-17 09:29:00,1
2019-01-17 09:30:00,1
2019-01-17 09:31:00,2
2019-01-17 10:30:00,3
2019-01-17 10:31:00,1
2019-01-17 11:44:00,1
2019-01-18 01:22:00,1
2019-01-18 01:25:00,4
2019-01-18 01:26:00,3
2019-01-18 02:31:00,5
