2,"SELECT s.plate, s.mjd, s.fiberid, s.z, s.zErr, s.zWarning, s.class, ra, dec FROM ..SpecObj as s WHERE s.z > # AND s.zWarning = # AND (s.class = #) AND s.z < #"
2019-07-06 06:00:00,1
2019-07-06 06:09:00,1
