1157,"SELECT p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, psfFlux_u, psfFlux_g, psfFlux_r, psfFlux_i, psfFlux_z FROM PhotoObj p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = #"
2019-01-31 18:25:00,1
2019-01-31 18:26:00,2
2019-01-31 18:27:00,1
2019-01-31 18:28:00,1
2019-02-01 10:22:00,1
2019-02-01 10:23:00,1
2019-02-12 11:40:00,3
2019-02-12 11:42:00,1
2019-02-12 11:43:00,1
2019-02-12 11:44:00,2
2019-02-12 11:45:00,2
2019-02-12 11:46:00,1
2019-02-12 11:47:00,1
2019-02-12 11:48:00,1
2019-02-12 11:49:00,2
2019-02-12 11:53:00,2
2019-02-12 11:54:00,1
2019-02-12 11:55:00,1
2019-02-12 11:56:00,1
2019-02-12 11:57:00,1
2019-02-12 11:59:00,2
2019-02-12 12:08:00,1
2019-02-12 12:11:00,1
2019-02-12 12:12:00,2
2019-02-12 12:13:00,3
2019-02-12 12:14:00,3
2019-02-12 12:15:00,3
2019-02-12 12:16:00,2
2019-02-12 13:34:00,1
2019-02-12 13:36:00,1
2019-02-12 13:37:00,1
2019-02-12 13:38:00,2
2019-02-12 13:39:00,1
2019-02-12 13:48:00,1
2019-02-12 13:49:00,3
2019-02-12 13:50:00,2
2019-02-12 13:54:00,4
2019-02-12 13:55:00,2
2019-02-12 13:56:00,3
2019-02-12 13:57:00,1
2019-02-12 15:21:00,1
2019-02-12 15:22:00,3
2019-02-12 15:23:00,3
2019-02-12 15:25:00,1
2019-02-12 15:27:00,1
2019-02-12 15:28:00,1
2019-02-12 15:30:00,1
2019-02-12 15:31:00,2
2019-02-12 15:32:00,1
2019-02-12 15:35:00,1
2019-02-12 15:38:00,2
2019-02-12 15:39:00,4
2019-02-12 15:40:00,3
2019-02-12 16:10:00,2
2019-02-12 16:11:00,1
2019-02-12 16:12:00,1
2019-02-12 16:15:00,1
2019-02-12 16:18:00,2
