6,"select all objid, modelmag_u, modelmag_g, modelmag_r, modelmag_i, modelmag_z, z from SpecPhoto where specclass = # and zconf > .# and z < .#"
2019-06-04 16:47:00,5
2019-06-04 18:00:00,1
