39,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.run, p.rerun, p.camcol, p.field, s.specobjid, s.class, s.z as redshift, s.plate, s.mjd, s.fiberid FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid"
2019-01-14 22:16:00,1
2019-01-15 10:34:00,1
2019-01-15 15:31:00,1
2019-01-16 11:03:00,1
2019-01-22 17:30:00,1
2019-02-16 20:08:00,1
2019-03-26 21:44:00,1
2019-04-02 15:45:00,1
2019-04-05 07:44:00,1
2019-04-05 08:23:00,1
2019-05-02 12:43:00,1
2019-05-09 23:09:00,1
2019-05-14 13:35:00,1
2019-05-14 13:39:00,1
2019-05-28 13:01:00,1
2019-06-11 08:39:00,1
2019-06-17 22:02:00,2
2019-06-18 10:40:00,1
2019-06-21 16:04:00,1
2019-06-21 16:17:00,1
2019-06-22 12:14:00,1
2019-07-08 10:47:00,1
2019-07-08 10:50:00,1
2019-07-08 10:51:00,1
2019-07-09 12:10:00,1
2019-07-09 12:11:00,1
2019-07-29 14:06:00,1
2019-08-12 09:16:00,1
2019-08-20 15:54:00,1
2019-10-09 12:16:00,1
2019-10-09 12:25:00,1
2019-10-23 18:30:00,1
2019-10-23 18:31:00,1
2019-10-23 18:43:00,1
2019-10-23 18:46:00,1
2019-11-04 23:51:00,1
2019-12-05 18:04:00,1
2019-12-19 21:24:00,1
