34,SELECT * FROM galCoord_#
2019-11-19 04:40:00,1
2019-11-19 04:53:00,1
2019-11-19 05:04:00,1
2019-11-19 05:14:00,1
2019-11-19 05:23:00,1
2019-11-19 05:30:00,1
2019-11-19 05:41:00,1
2019-11-19 06:01:00,1
2019-11-19 06:09:00,1
2019-11-19 06:15:00,1
2019-11-19 06:23:00,1
2019-11-19 06:37:00,1
2019-11-19 06:41:00,1
2019-11-19 06:46:00,1
2019-11-19 06:53:00,1
2019-11-19 06:59:00,1
2019-11-19 07:58:00,1
2019-11-19 08:05:00,1
2019-11-19 08:13:00,1
2019-11-19 08:19:00,1
2019-11-19 08:24:00,1
2019-11-19 08:30:00,1
2019-11-19 08:37:00,1
2019-11-19 08:41:00,1
2019-11-19 08:46:00,1
2019-11-19 08:51:00,1
2019-11-19 08:57:00,1
2019-11-19 09:02:00,1
2019-11-19 09:07:00,1
2019-11-19 09:13:00,1
2019-11-19 09:21:00,1
2019-11-19 09:26:00,1
2019-11-19 09:34:00,1
2019-11-19 09:39:00,1
