22,select fieldid from field where cccol_u between .# and # and skyframes_r between .# and #
2019-01-24 23:36:00,1
2019-01-24 23:37:00,1
2019-01-25 07:50:00,5
2019-01-25 12:44:00,1
2019-01-25 12:49:00,2
2019-01-28 17:52:00,10
2019-01-28 18:47:00,2
