475,"SELECT u.up_name as [name], # + cast (x.objId as varchar (#) ) + #+ cast (x.objId as varchar (#) ) + # as objID, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field, dbo.fPhotoTypeN (p.type) as type, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z FROM #x x, #upload u, PhotoTag p WHERE u.up_id = x.up_id and x.objID = p.objID ORDER BY x.up_id"
2019-07-03 06:54:00,1
2019-07-04 10:34:00,1
2019-07-08 08:23:00,1
2019-07-09 08:33:00,1
2019-07-09 15:19:00,1
2019-07-09 16:45:00,1
2019-07-10 05:52:00,1
2019-07-10 07:30:00,1
2019-07-12 07:19:00,4
2019-07-12 07:20:00,2
2019-07-12 07:24:00,1
2019-07-12 07:40:00,1
2019-07-12 07:41:00,1
2019-07-12 07:42:00,3
2019-07-12 07:43:00,1
2019-07-16 16:51:00,1
2019-07-17 14:57:00,1
2019-07-18 15:03:00,1
2019-07-18 23:27:00,1
2019-07-19 00:38:00,1
2019-07-19 12:41:00,1
2019-07-19 12:45:00,1
2019-07-23 21:59:00,2
2019-07-25 07:48:00,1
2019-07-25 20:28:00,1
2019-07-28 09:10:00,1
2019-07-28 17:02:00,1
2019-07-30 02:19:00,1
2019-07-30 02:35:00,1
2019-08-04 23:33:00,1
2019-08-05 15:35:00,1
2019-08-06 01:57:00,1
2019-08-06 13:18:00,1
2019-08-09 13:35:00,1
2019-08-09 13:58:00,1
2019-08-14 02:38:00,1
2019-08-14 02:42:00,1
2019-08-14 02:52:00,1
2019-08-14 02:56:00,1
2019-08-14 05:39:00,1
2019-08-14 05:47:00,1
2019-08-14 12:54:00,1
2019-08-16 04:04:00,1
2019-08-16 17:04:00,1
2019-08-20 21:07:00,1
2019-08-22 01:16:00,1
2019-08-22 07:17:00,1
2019-08-29 02:54:00,1
2019-08-30 05:34:00,1
2019-09-01 08:53:00,1
2019-09-02 19:55:00,1
2019-09-06 00:23:00,1
2019-09-06 16:37:00,1
2019-09-08 07:19:00,1
2019-09-10 11:36:00,1
2019-09-12 05:20:00,1
2019-09-12 06:26:00,1
2019-09-12 10:54:00,1
2019-09-12 20:56:00,3
2019-09-15 03:18:00,19
2019-09-15 03:19:00,9
2019-09-16 07:16:00,1
2019-09-16 13:41:00,1
2019-09-17 10:57:00,1
2019-09-17 11:00:00,1
2019-09-17 20:13:00,1
2019-09-19 17:06:00,1
2019-09-22 13:58:00,1
2019-09-24 22:07:00,1
2019-09-25 16:41:00,1
2019-09-25 17:35:00,1
2019-09-26 16:50:00,1
2019-09-27 15:12:00,1
2019-09-28 13:02:00,1
2019-09-30 12:55:00,1
2019-10-03 20:30:00,1
2019-10-06 23:33:00,1
2019-10-08 16:22:00,1
2019-10-08 16:30:00,1
2019-10-09 11:57:00,1
2019-10-09 14:39:00,1
2019-10-14 21:01:00,1
2019-10-14 21:37:00,1
2019-10-15 06:28:00,1
2019-10-17 19:04:00,1
2019-10-20 21:28:00,1
2019-10-25 10:30:00,1
2019-10-25 10:37:00,1
2019-10-25 10:38:00,2
2019-10-25 10:39:00,2
2019-10-25 10:40:00,1
2019-10-25 10:41:00,1
2019-10-25 10:46:00,1
2019-10-25 11:34:00,1
2019-10-26 20:57:00,1
2019-10-27 15:45:00,1
2019-10-27 15:49:00,1
2019-10-27 15:51:00,1
2019-10-28 14:43:00,1
2019-10-29 13:15:00,1
2019-10-29 19:58:00,1
2019-10-30 16:36:00,1
2019-10-30 16:53:00,1
2019-10-30 17:23:00,1
2019-10-30 17:47:00,1
2019-10-30 17:49:00,3
2019-10-30 17:50:00,3
2019-11-01 20:18:00,1
2019-11-02 19:40:00,1
2019-11-02 19:48:00,1
2019-11-03 04:03:00,1
2019-11-04 08:48:00,1
2019-11-06 06:02:00,1
2019-11-07 07:09:00,1
2019-11-13 09:22:00,1
2019-11-14 05:28:00,1
2019-11-14 08:08:00,1
2019-11-14 08:09:00,1
2019-11-14 13:05:00,1
2019-11-15 02:07:00,1
2019-11-15 02:24:00,1
2019-11-15 02:30:00,1
2019-11-15 02:33:00,2
2019-11-16 02:20:00,1
2019-11-17 04:17:00,1
2019-11-20 07:17:00,1
2019-11-20 10:28:00,1
2019-11-20 18:30:00,1
2019-11-21 14:10:00,1
2019-11-23 07:32:00,1
2019-11-23 08:43:00,1
2019-11-24 04:10:00,1
2019-11-26 11:33:00,1
2019-11-29 15:08:00,1
2019-12-02 00:56:00,1
2019-12-02 19:34:00,1
2019-12-04 08:09:00,1
2019-12-04 08:25:00,1
2019-12-04 11:44:00,1
2019-12-04 22:44:00,1
2019-12-05 03:22:00,1
2019-12-06 10:20:00,1
2019-12-06 22:29:00,1
2019-12-07 14:07:00,1
2019-12-07 15:24:00,1
2019-12-10 01:32:00,1
2019-12-13 23:49:00,1
2019-12-14 00:26:00,1
2019-12-18 18:25:00,1
2019-12-20 21:51:00,1
2019-12-25 02:21:00,1
2019-12-26 15:45:00,1
2019-12-27 18:23:00,1
2019-12-28 09:31:00,1
2019-12-28 09:41:00,1
2019-12-31 08:01:00,1
