3,"SELECT TOP # ObjID, modelMag_r, petroRad_r FROM Galaxy WHERE (ra between # and #) and (dec between # and #) AND modelMag_r < #"
2019-02-12 06:15:00,1
2019-02-12 06:18:00,2
