3,"select ra, dec, mjd, plate, fiberID, specObjID, cModelMag_g, cModelMag_r, cModelMag_i, cModelMagErr_g, cModelMagErr_r, cModelMagErr_i, extinction_g, extinction_r, extinction_i from SpecPhoto where ra BETWEEN # and # AND dec BETWEEN # and #"
2019-01-20 02:19:00,1
2019-01-20 02:23:00,2
