27,"SELECT u.up_name as [name], s.specobjid, s.ra, s.dec, s.plate, s.mjd, s.fiberid, p.objID, p.run, p.rerun, p.camcol, p.field FROM #upload u JOIN #x x ON x.up_id = u.up_id JOIN SpecObjAll s ON s.specObjID = x.specObjID JOIN PhotoTag p ON p.objID = s.bestObjID"
2019-01-09 18:46:00,1
2019-01-09 18:48:00,1
2019-01-20 15:23:00,1
2019-01-23 11:29:00,1
2019-03-19 10:08:00,1
2019-03-19 10:11:00,1
2019-03-25 08:23:00,1
2019-04-18 17:56:00,1
2019-04-23 15:22:00,1
2019-05-02 19:20:00,1
2019-05-02 19:31:00,2
2019-05-02 20:50:00,1
2019-05-07 17:20:00,2
2019-05-24 22:03:00,1
2019-06-26 15:57:00,1
2019-06-26 16:04:00,1
2019-06-26 16:23:00,1
2019-06-26 20:33:00,1
2019-06-26 20:34:00,1
2019-09-09 07:36:00,1
2019-10-12 05:18:00,3
2019-11-05 02:41:00,1
2019-11-05 02:45:00,1
