15,"SELECT up_id, dbo.fGetNearestObjIdEq (up_ra, up_dec, #) as objId FROM #upload WHERE dbo.fGetNearestObjIdEq (up_ra, up_dec, #) IS NOT # EXEC spExecuteSQL #'< a target = INFO href = http://skyserver.sdss.org/DR1#/en/tools/explore/obj.aspx? id = # + cast (x.objId as varchar (#) ) + #> #+ cast (x.objId as varchar (#) ) + #< /a> # as objID, p.ra, p.dec, dbo.fPhotoTypeN (p.type) as type, p.modelMag_r FROM #upload u JOIN #x x ON x.up_id = u.up_id JOIN PhotoTag p ON p.objID = x.objID ORDER BY x.up_id ##', @log = #, @filter = #"
2019-07-13 13:39:00,1
2019-07-13 13:50:00,1
2019-07-13 13:52:00,1
2019-07-13 14:46:00,1
2019-07-13 14:47:00,2
2019-07-13 14:49:00,1
2019-07-13 14:51:00,1
2019-07-13 14:52:00,3
2019-07-13 14:54:00,1
2019-07-13 15:02:00,1
2019-07-15 05:22:00,1
2019-07-15 05:30:00,1
